id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1777022	PH	PH00106573	James C. Lendemer	9346	3149.92	Georgia	Early	1.02278	-85.08139	outside_boundary_exact	not_found_in_US	Williams Bluff Preserve, ~3 miles west of Cedar Springs, along tributary to the Chattahoochee River, Gordon Quad	https://lichenportal.org/portal/collections/individual/index.php?occid=1777022
1777579	PH	PH00107132	Clifford M. Wetmore	65810	1296.57	Georgia	Charlton	42.66667	-82.13333	outside_boundary_exact	not_found_in_US	Camp Cornelia on east side of swamp, Okefenokee National Wildlife Refuge	https://lichenportal.org/portal/collections/individual/index.php?occid=1777579
1777580	PH	PH00107133	Clifford M. Wetmore	65810	1296.57	Georgia	Charlton	42.66667	-82.13333	outside_boundary_exact	not_found_in_US	Okefenokee National Wildlife Refuge. Camp Cornelia on east side of swamp	https://lichenportal.org/portal/collections/individual/index.php?occid=1777580
1741504	PH	PH00094917	P. O. Schallert	L 215	190.23	Georgia	Clay	33.387058	-84.282978	outside_boundary_exact	Georgia, Henry County	Near Hampton.	https://lichenportal.org/portal/collections/individual/index.php?occid=1741504
1830652	PH	PH00146105	P.O. Schallert	L-306	190.23	Georgia	Clay	33.387058	-84.282978	outside_boundary_exact	Georgia, Henry County	near Hampton	https://lichenportal.org/portal/collections/individual/index.php?occid=1830652
1830710	PH	PH00146166	P.O. Schallert	L-313	190.23	Georgia	Clay	33.387058	-84.282978	outside_boundary_exact	Georgia, Henry County	Hampton	https://lichenportal.org/portal/collections/individual/index.php?occid=1830710
1830780	PH	PH00146005	P.O. Schallert	L-290	190.23	Georgia	Clay	33.387058	-84.282978	outside_boundary_exact	Georgia, Henry County	near Hampton	https://lichenportal.org/portal/collections/individual/index.php?occid=1830780
1831242	PH	PH00146110	P.O. Schallert	L-306	190.23	Georgia	Clay	33.387058	-84.282978	outside_boundary_exact	Georgia, Henry County	near Hampton	https://lichenportal.org/portal/collections/individual/index.php?occid=1831242
1091592	PH	PH00045403	Yahr, R.	s.n.	72.18	Georgia	Coffee	31	-82	outside_boundary_exact	Georgia, Charlton County	Near Douglas, just north of Broxton, Broxton Rocks Nature Conservancy Preserve. High Point Outcrop.	https://lichenportal.org/portal/collections/individual/index.php?occid=1091592
1725357	PH	PH00090609	Sean Q. Beeching	s.n.	2.7	Georgia	Towns	34.881546	-83.877226	outside_boundary_exact	Georgia, Union County	Trackrock Gap.	https://lichenportal.org/portal/collections/individual/index.php?occid=1725357
1775729	PH	PH00105300	Sean Q. Beeching	s.n.-A	0.21	Georgia	Upson	32.83333	-84.41667	outside_boundary_exact	Georgia, Talbot County	Dripping Rocks Road, Cliff along Flint River	https://lichenportal.org/portal/collections/individual/index.php?occid=1775729
1796441	PH	PH00116767	Sean Q. Beeching	s.n.	0.21	Georgia	Upson	32.833333	-84.416667	outside_boundary_exact	Georgia, Talbot County	Dripping Rocks Road, Cliff along Flint River	https://lichenportal.org/portal/collections/individual/index.php?occid=1796441
1091513	PH	PH00040837	Wetmore, C.M.	19264	NA	Georgia	De Kalb	33.665399	-84.11365	county_not_matched_no_match	county_not_matched	Mt. Arabia	https://lichenportal.org/portal/collections/individual/index.php?occid=1091513
