occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1728398	PH	John G. Guccion	Virginia	Washington	47.75	outside_boundary_exact	PH00092610	36.65,-81.06667	Virginia, Grayson County	Jefferson National Forest, 5.5. miles northeast of Demascus, Mount Rogers National Recrcation Area, Beartree RecreationArea.	https://lichenportal.org/portal/collections/individual/index.php?occid=1728398
4828120	PH	A. B. Seymour	Virginia	Wise	0.91	outside_boundary_exact	PH00793091	36.933433,-82.629046	Virginia, Norton County	Norton	https://lichenportal.org/portal/collections/individual/index.php?occid=4828120
1742678	PH	Lawrence Pike	Virginia	Smyth	0.29	outside_boundary_exact	PH00097459	36.66,-81.54	Virginia, Grayson County	Mt. Rogers	https://lichenportal.org/portal/collections/individual/index.php?occid=1742678
1727977	PH	James C. Lendemer	Virginia	Warren	0.1	outside_boundary_exact	PH00094464	38.77611,-78.2	Virginia, Rappahannock County	North Marshall between Hogwallow Flat and South Marshall, Blue Ridge Mountains, Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1727977
1796105	PH	James C. Lendemer	Virginia	Warren	0.04	outside_boundary_exact	PH00116432	38.775998,-78.201584	Virginia, Rappahannock County	North Marshall, between Hogwallow Flat and South Marshall, Blue Ridge Mountains, Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1796105
1796783	PH	James C. Lendemer	Virginia	Warren	0.04	outside_boundary_exact	PH00117108	38.775998,-78.201584	Virginia, Rappahannock County	North Marshall, between Hogwallow Flat and South Marshall, Blue Ridge Mountains, Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1796783
1797327	PH	James C. Lendemer	Virginia	Warren	0.04	outside_boundary_exact	PH00117653	38.775998,-78.201584	Virginia, Rappahannock County	North Marshall, between Hogwallow Flat and South Marshall, Blue Ridge Mountains, Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1797327
1797328	PH	James C. Lendemer	Virginia	Warren	0.04	outside_boundary_exact	PH00117654	38.775998,-78.201584	Virginia, Rappahannock County	North Marshall, between Hogwallow Flat and South Marshall, Blue Ridge Mountains, Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1797328
1797329	PH	James C. Lendemer	Virginia	Warren	0.04	outside_boundary_exact	PH00117655	38.775998,-78.201584	Virginia, Rappahannock County	North Marshall, between Hogwallow Flat and South Marshall, Blue Ridge Mountains, Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1797329
1797480	PH	James C. Lendemer	Virginia	Warren	0.04	outside_boundary_exact	PH00117806	38.775998,-78.201584	Virginia, Rappahannock County	North Marshall, between Hogwallow Flat and South Marshall, Blue Ridge Mountains, Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1797480
1797801	PH	James C. Lendemer	Virginia	Warren	0.04	outside_boundary_exact	PH00118127	38.775998,-78.201584	Virginia, Rappahannock County	North Marshall, between Hogwallow Flat and South Marshall, Blue Ridge Mountains, Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1797801
1797903	PH	James C. Lendemer	Virginia	Warren	0.04	outside_boundary_exact	PH00118237	38.775998,-78.201584	Virginia, Rappahannock County	North Marshall, between Hogwallow Flat and South Marshall, Blue Ridge Mountains, Shenandoah National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1797903
1724456	PH	James C. Lendemer	Virginia	Warren	0.02	outside_boundary_exact	PH00089452	38.77611,-78.20167	Virginia, Rappahannock County	Shenandoah National Park, Blue Ridge Mountains, North Marshall, between Hogwallow Flat and South Marshall.	https://lichenportal.org/portal/collections/individual/index.php?occid=1724456
