id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1776806	PH	PH00106357	Kerry Knudsen	8011	9676.73	9980.04	California	San Bernardino	34.81444	-1.25	outside_boundary_exact	not_found_in_US	Mojave Desert, Granite Mountain, Sweeney Granite Mountain UC Reserve, canyon above Yucca Bajada camp, Bighorn Basin Quad	https://lichenportal.org/portal/collections/individual/index.php?occid=1776806
1777400	PH	PH00106952	Kerry Knudsen	8100	7274.31	7399.22	California	San Luis Obispo	35.56944	-36.12583	outside_boundary_exact	not_found_in_US	Central Coast, San Simeon, San Simeon State Park, Molinari Property, rock pile next to ravine along old Highway One dirt road, Cambria Quad	https://lichenportal.org/portal/collections/individual/index.php?occid=1777400
1777445	PH	PH00106998	Kerry Knudsen	8099	7274.31	7399.22	California	San Luis Obispo	35.56944	-36.12583	outside_boundary_exact	not_found_in_US	Central Coast, San Simeon, San Simeon State Park, Molinari Property, rock pile next to ravine along old Highway One dirt road, Cambria Quad	https://lichenportal.org/portal/collections/individual/index.php?occid=1777445
1724319	PH	PH00089095	Kerry Knudsen	4722	3230.98	3390.54	California	San Luis Obispo	35.024167	-83.540833	outside_boundary_exact	North Carolina, Clay County	North tip of Espcra Bluffs where Villa Geek empties into the Pacific, state park land.	https://lichenportal.org/portal/collections/individual/index.php?occid=1724319
1744596	PH	PH00102690	Kerry Knudsen	894	599.27	694.12	California	Riverside	39.38472	-116.81708	outside_boundary_exact	Nevada, Lander County	Bautista Canyon, west side of San Jacinto Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1744596
1744356	PH	PH00102450	Kerry Knudsen	730	205.98	330.8	California	Riverside	35.87478	-116.68172	outside_boundary_exact	California, Inyo County	San Jacinto Mountains, Snow Creek, slope about water company facility	https://lichenportal.org/portal/collections/individual/index.php?occid=1744356
1724929	PH	PH00090219	Kerry Knudsen	2339	185.28	362.24	California	Los Angeles	35.251389	-120.871111	outside_boundary_exact	California, San Luis Obispo County	Royce Canyon, Griffith Park, cast end of the Santa, Monica Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=1724929
1743504	PH	PH00101597	J. Knops	s.n.	177.89	291.07	California	Sonoma	36.51667	-121.95	outside_boundary_exact	California, Monterey County	Point Lobos Nature Reserve, 5 km southwest of Carmel	https://lichenportal.org/portal/collections/individual/index.php?occid=1743504
1725684	PH	PH00091717	Kerry Knudsen	6807	158.99	309.67	California	Santa Barbara	32.34444	-120.20583	outside_boundary_exact	not_found_in_US	San Miguel Island, trail to Lester Point, San Miguel Island Quad.	https://lichenportal.org/portal/collections/individual/index.php?occid=1725684
1742106	PH	PH00095807	Kerry Knudsen	1964	155.94	266.94	California	Ventura	34.1211	-116.93415	outside_boundary_exact	California, San Bernardino County	Below Sandstone Peak, Santa Monica Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1742106
