occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
145298	SBBG	T. H. Nash III	Arizona	Santa Cruz	26.2	outside_boundary_exact	SBBG012904L	31.416667,-110.183333	Arizona, Cochise County	Sycamore Canyon 31 25'0" N, 110?11'0" W	https://lichenportal.org/portal/collections/individual/index.php?occid=145298
150385	SBBG	T. H. Nash III	Arizona	Maricopa	5.9	outside_boundary_exact	NA	33.174444,-113.397222	Arizona, Yuma County	N end of Maricopa Mts where they intersect US hwy 80	https://lichenportal.org/portal/collections/individual/index.php?occid=150385
144453	SBBG	B. D. Ryan	Arizona	Pima	2.97	outside_boundary_exact	SBBG013293L	31.7,-110.866667	Arizona, Santa Cruz County	Madera Canyon Santa Rita Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=144453
148301	SBBG	T. H. Nash III	Arizona	Coconino	1.07	outside_boundary_exact	NA	34.283333,-110.9	Arizona, Gila County	Mogollon rim near border of Gila county along highway 260 ca. 20 km E of Payson.	https://lichenportal.org/portal/collections/individual/index.php?occid=148301
148306	SBBG	T. H. Nash III	Arizona	Coconino	1.07	outside_boundary_exact	NA	34.283333,-110.9	Arizona, Gila County	Mogollon Rim near border of Gila county along highway 260 ca. 20 km E of Payson.	https://lichenportal.org/portal/collections/individual/index.php?occid=148306
151166	SBBG	C. C. Bratt	Arizona	Coconino	1.07	outside_boundary_exact	NA	34.283333,-110.9	Arizona, Gila County	Mogollon Rim near border of Gila Co. along Hwy 260, ca. 20 km E of Payson	https://lichenportal.org/portal/collections/individual/index.php?occid=151166
5765860	SBBG	T. H. Nash III	Arizona	Coconino	0.53	outside_boundary_exact	SBBG018008L	34.3,-110.916667	Arizona, Coconino County	At Mogollon Rim 1 im S of state Rte 260	https://lichenportal.org/portal/collections/individual/index.php?occid=5765860
144677	SBBG	T. H. Nash III	Arizona	Coconino	0.53	outside_boundary_exact	SBBG018006L	34.3,-110.916667	Arizona, Coconino County	At Mogollon Rim 1 im S of state Rte 260	https://lichenportal.org/portal/collections/individual/index.php?occid=144677
144608	SBBG	T. H. Nash III	Arizona	Gila	0.47	outside_boundary_exact	SBBG004333L	34.433333,-111.4	Arizona, Coconino County	Gila National Forest, upper end of Pine Canyon adjacent Coconino County border.	https://lichenportal.org/portal/collections/individual/index.php?occid=144608
144622	SBBG	T. H. Nash III	Arizona	Gila	0.47	outside_boundary_exact	SBBG017998L	34.433333,-111.4	Arizona, Coconino County	Gila Nat forest, upper end of Pine Canyon adjacent Coconino County border.34?26'0"N,111?24'0"W,mixed conifer and oak forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=144622
147164	SBBG	T. H. Nash III	Arizona	Gila	0.47	outside_boundary_exact	NA	34.433333,-111.4	Arizona, Coconino County	GILA N F; Upper end of Pine Canyon adjacent Coconino county border.	https://lichenportal.org/portal/collections/individual/index.php?occid=147164
144615	SBBG	T. H. Nash III	Arizona	Coconino	0.18	outside_boundary_exact	SBBG007077L	34.3,-110.9	Arizona, Coconino County	Coconino Nat Forest, edge of the Mogollon rim (Gila Co. border), just S of AZ 260	https://lichenportal.org/portal/collections/individual/index.php?occid=144615
