id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
5070510	SBBG	SBBG090363L	K. Knudsen	19154	12343	New Mexico	Dona Ana	32.310972	106.577639	outside_boundary_similarity_0.625	not_found_in_US	Organ Mountains, Soledad Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=5070510
5070570	SBBG	SBBG090394L	K. Knudsen	19205.1	12340.48	New Mexico	Dona Ana	32.338444	106.583444	outside_boundary_similarity_0.625	not_found_in_US	Chihuahuan Desert, Organ Mountains, Dripping Springs Nature Reserve, Fillmore Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=5070570
147340	SBBG	NA	S. C. Tucker	37258	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Cienega Spring Trail 148; Cibola Nat Forest, Sandia Mts, E of Albuquerque along NM route 536	https://lichenportal.org/portal/collections/individual/index.php?occid=147340
147344	SBBG	SBBG012937L	S. C. Tucker	37262	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Cienega Spring Trail 148; Cibola Nat Forest, Sandia Mts, E of Albuquerque along NM route 536	https://lichenportal.org/portal/collections/individual/index.php?occid=147344
147404	SBBG	NA	S. C. Tucker	37293	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Cienega Spring Trail 148; Cibola Nat Forest, Sandia Mts, E of Albuquerque along NM route 536	https://lichenportal.org/portal/collections/individual/index.php?occid=147404
148507	SBBG	SBBG003390L	S. C. Tucker	37290	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Cibola Nat Forest; Cienega Spring Trail #148; Cibola Nat Forest, Sandia Mts, E of Albuquerque along NM route 536	https://lichenportal.org/portal/collections/individual/index.php?occid=148507
148508	SBBG	SBBG007244L	S. C. Tucker	37256A	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Sandia Mountains E of Albuquerque along NM route 536, Cibola National Forest, Cienega Spring Trail #148.	https://lichenportal.org/portal/collections/individual/index.php?occid=148508
148509	SBBG	SBBG012933L	S. C. Tucker	37263	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Cibola Nat Forest; Cienega Spring Trail 148; Cibola Nat Forest, Sandia Mts, E of Albuquerque along NM route 536	https://lichenportal.org/portal/collections/individual/index.php?occid=148509
148510	SBBG	SBBG006560L	S. C. Tucker	37269	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Sandia Mountains, E of Albuquerque, NM route 536, Cibola National Forest, Cienega Spring Trail #148.	https://lichenportal.org/portal/collections/individual/index.php?occid=148510
148512	SBBG	SBBG005795L	S. C. Tucker	37261	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Sandia Mountains E of Albuquerque along NM route 536, Cibola National Forest; Cienega Spring Trail #148.	https://lichenportal.org/portal/collections/individual/index.php?occid=148512
148514	SBBG	SBBG003662L	S. C. Tucker	37260	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Cibola National Forest; Cienega Spring Trail #148; Sandia Mountains E of Albuquerque along NM route 536	https://lichenportal.org/portal/collections/individual/index.php?occid=148514
148515	SBBG	SBBG001837L	S. C. Tucker	37287B	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Cibola Nat Forest; Cienega Spring Trail 148; Cibola Nat Forest, Sandia Mts, E of Albuquerque along NM route 536	https://lichenportal.org/portal/collections/individual/index.php?occid=148515
148517	SBBG	NA	S. C. Tucker	37281	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Cibola Nat Forest; Cienega Spring Trail 148; Cibola Nat Forest, Sandia Mts, E of Albuquerque along NM route 536	https://lichenportal.org/portal/collections/individual/index.php?occid=148517
148518	SBBG	NA	S. C. Tucker	37274	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Cibola Nat Forest; Cienega Spring Trail 148; Cibola Nat Forest, Sandia Mts, E of Albuquerque along NM route 536	https://lichenportal.org/portal/collections/individual/index.php?occid=148518
148519	SBBG	SBBG016571L	S. C. Tucker	37285	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Cibola Nat Forest; Cienega Spring Trail 148; Cibola Nat Forest, Sandia Mts, E of Albuquerque along NM route 536	https://lichenportal.org/portal/collections/individual/index.php?occid=148519
148520	SBBG	NA	S. C. Tucker	37280	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Cibola Nat Forest; Cienega Spring Trail 148; Cibola Nat Forest, Sandia Mts, E of Albuquerque along NM route 536	https://lichenportal.org/portal/collections/individual/index.php?occid=148520
148521	SBBG	NA	S. C. Tucker	37264	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Cibola Nat Forest; Cienega Spring Trail 148; Cibola Nat Forest, Sandia Mts, E of Albuquerque along NM route 536	https://lichenportal.org/portal/collections/individual/index.php?occid=148521
148523	SBBG	SBBG017063L	S. C. Tucker	37287a	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Cibola Nat Forest; Cienega Spring Trail 148; Cibola Nat Forest, Sandia Mts, E of Albuquerque along NM route 536	https://lichenportal.org/portal/collections/individual/index.php?occid=148523
148524	SBBG	SBBG026745L	S. C. Tucker	37273	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Cibola Nat Forest; Cienega Spring Trail 148; Cibola Nat Forest, Sandia Mts, E of Albuquerque along NM route 536.	https://lichenportal.org/portal/collections/individual/index.php?occid=148524
148525	SBBG	NA	S. C. Tucker	37291a	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Cibola Nat Forest; Cienega Spring Trail 148; Cibola Nat Forest, Sandia Mts, E of Albuquerque along NM route 536	https://lichenportal.org/portal/collections/individual/index.php?occid=148525
150902	SBBG	SBBG025288L	S. C. Tucker	37271	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Sandia Mts, E of Albuquerque along NM route 536, Cienega Spring Trail #148; Cibola National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=150902
154079	SBBG	SBBG023233L	S. C. Tucker	37276	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Cienega Spring Trail 148; Cibola Nat Forest, Sandia Mts, E of Albuquerque along NM route 536	https://lichenportal.org/portal/collections/individual/index.php?occid=154079
154081	SBBG	SBBG023297L	S. C. Tucker	37277	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Cienega Spring Trail 148; Cibola Nat Forest, Sandia Mts, E of Albuquerque along NM route 536	https://lichenportal.org/portal/collections/individual/index.php?occid=154081
1315684	SBBG	NA	S. C. Tucker	37270	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Cienega Spring Trail 148; Cibola Nat Forest, Sandia Mts, E of Albuquerque along NM route 536	https://lichenportal.org/portal/collections/individual/index.php?occid=1315684
3040123	SBBG	SBBG019907L	S. C. Tucker	37267	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Sandia Mtns E of Albuquerque along NM route 536, Cibola Natinal Forest, Cienega Spring Trail 148	https://lichenportal.org/portal/collections/individual/index.php?occid=3040123
3040124	SBBG	SBBG019908L	S. C. Tucker	37265	524.08	New Mexico	Bernalillo	30.169722	-106.383889	outside_boundary_exact	not_found_in_US	Sandia Mtns E of Albuquerque along NM route 536, Cibola Natinal Forest, Cienega Spring Trail 148	https://lichenportal.org/portal/collections/individual/index.php?occid=3040124
5831544	SBBG	SBBG023296L	S. C. Tucker	37256A	524.08	New Mexico	Bernalillo	30.16972222	-106.3838889	outside_boundary_exact	not_found_in_US	Sandia Mountains, E of Albuquerque; Cibola National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=5831544
