id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
5381235	SD	NA	B. Ryan	25951	106.33	California	San Diego	34.4	-116.9708333	outside_boundary_exact	California, San Bernardino County	Agua Tibia Wilderness: Magee Palomar Trail at Crossley Saddle. 1175-1225m (3900-4000 ft.). Granite rocks. Chaparral (Manzanita, etc.), Oaks. Much of the area burned in summer 1989.	https://lichenportal.org/portal/collections/individual/index.php?occid=5381235
5381200	SD	NA	B. Ryan	25824	31.9	California	San Diego	33.3875	-117.95	outside_boundary_exact	not_found_in_US	Agua Tibia Wilderness, Magee Palomar Trail, in vicinity of Eagle Crag	https://lichenportal.org/portal/collections/individual/index.php?occid=5381200
5381201	SD	NA	B. Ryan	25869	31.9	California	San Diego	33.3875	-117.95	outside_boundary_exact	not_found_in_US	Agua Tibia Wilderness, Magee Palomar Trail, in vicinity of Eagle Crag	https://lichenportal.org/portal/collections/individual/index.php?occid=5381201
5381218	SD	NA	B. Ryan	25891	31.9	California	San Diego	33.3875	-117.95	outside_boundary_exact	not_found_in_US	gua Tibia Wilderness, Magee Palomar Trail, in vicinity of Eagle Crag	https://lichenportal.org/portal/collections/individual/index.php?occid=5381218
5381219	SD	NA	B. Ryan	25870	31.9	California	San Diego	33.3875	-117.95	outside_boundary_exact	not_found_in_US	Agua Tibia Wilderness, Magee Palomar Trail, in vicinity of Eagle Crag	https://lichenportal.org/portal/collections/individual/index.php?occid=5381219
5381220	SD	NA	B. Ryan	25799	31.9	California	San Diego	33.3875	-117.95	outside_boundary_exact	not_found_in_US	Magge Palomar Trail, in vicinity of Eagle Crag. 1375m. Granite rocks. Big Cone Douglas Fir, Oaks. Much of the area burned in summer 1989.	https://lichenportal.org/portal/collections/individual/index.php?occid=5381220
5381222	SD	NA	B. Ryan	25781	31.9	California	San Diego	33.3875	-117.95	outside_boundary_exact	not_found_in_US	Agua Tibia Wilderness: Magee Palomar Trail, in vinicity of Eagle Crag. Granite Rocks. Big Cone Douglas Fir, Oaks. Much of area burned in summer 1989.	https://lichenportal.org/portal/collections/individual/index.php?occid=5381222
5381228	SD	NA	B. Ryan	25841	31.9	California	San Diego	33.3875	-117.95	outside_boundary_exact	not_found_in_US	Agua Tibia Wilderness, Magee Palomar Trail, in vicinity of Eagle Crag	https://lichenportal.org/portal/collections/individual/index.php?occid=5381228
5381232	SD	NA	B. Ryan	25872	31.9	California	San Diego	33.3875	-117.95	outside_boundary_exact	not_found_in_US	Agua Tibia Wilderness: Magee Palomar Trail, in vicinity of Eagle Crag. 1375m (4600 ft.). Granite rocks. Big Cone Douglas Fir, Oaks. Much of the area burned in summer 1989.	https://lichenportal.org/portal/collections/individual/index.php?occid=5381232
5381237	SD	NA	B. Ryan	25873	31.9	California	San Diego	33.3875	-117.95	outside_boundary_exact	not_found_in_US	Agua Tibia Wilderness: Magee Palomar Trail, in vinicity of Eagle Crag. 1375m (4600 ft.). Granite rocks. Big Cone Douglas Fir, Oaks. Much of the area burned in summer 1989.	https://lichenportal.org/portal/collections/individual/index.php?occid=5381237
5381238	SD	NA	B. Ryan	25823	31.9	California	San Diego	33.3875	-117.95	outside_boundary_exact	not_found_in_US	Agua Tibia Wilderness: Magee Palomar Trail, in vinicity of Eagle Crag. 1375 m (4600 ft). Granite rocks. Big Cane Douglas Fir, Oaks. Much of area burned in summer 1989.	https://lichenportal.org/portal/collections/individual/index.php?occid=5381238
5381241	SD	NA	B. Ryan	25795	31.9	California	San Diego	33.3875	-117.95	outside_boundary_exact	not_found_in_US	Agua Tibia Wilderness: Magee Palomar Trail, in vinicity of Eagle Crag. 1375 m (4600 ft) . Granite rocks. Big Cone Douglas Fir, Oaks. Much of area burned in summer 1989.	https://lichenportal.org/portal/collections/individual/index.php?occid=5381241
5381263	SD	NA	B. Ryan	25822B	31.9	California	San Diego	33.3875	-117.95	outside_boundary_exact	not_found_in_US	Agua Tibia Wilderness, Magee Palomar Trail, in vicinity of Eagle Crag	https://lichenportal.org/portal/collections/individual/index.php?occid=5381263
5381264	SD	NA	B. Ryan	25822	31.9	California	San Diego	33.3875	-117.95	outside_boundary_exact	not_found_in_US	Agua Tibia Wilderness, Magee Palomar Trail, in vicinity of Eagle Crag	https://lichenportal.org/portal/collections/individual/index.php?occid=5381264
5381261	SD	NA	B. Ryan	25971	19.33	California	San Diego	32.375	-116.95	outside_boundary_exact	not_found_in_US	Mission Indian Reserve: Palomar Divide Truck Trail, 2 mi SSE of Eagle Crag. 5200 ft.	https://lichenportal.org/portal/collections/individual/index.php?occid=5381261
5381270	SD	NA	B. Ryan	25941	3.1	California	Riverside	33.4	-116.9708333	outside_boundary_exact	California, San Diego County	Agua Tibia Wilderness, Magee Palomar Trail at Crossley Saddle	https://lichenportal.org/portal/collections/individual/index.php?occid=5381270
5381043	SD	NA	Reid Moran	6850	NA	California	San Clemente Island	32.89666667	-118.52	county_not_matched_no_match	county_not_matched	Cliff at canyon mouth	https://lichenportal.org/portal/collections/individual/index.php?occid=5381043
