occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1445219	SRP	Roger Rosentreter	Nevada	Humboldt	593.2	outside_boundary_exact	SRP-L-0001772	38,-111	Utah, Garfield County	North of Chimney Dam Reservoir.	https://lichenportal.org/portal/collections/individual/index.php?occid=1445219
1445220	SRP	Roger Rosentreter	Nevada	Humboldt	593.2	outside_boundary_exact	SRP-L-0001773	38,-111	Utah, Garfield County	North of Chimney Dam Reservoir.	https://lichenportal.org/portal/collections/individual/index.php?occid=1445220
1125298	SRP	Roger Rosentreter	Nevada	White Pine	51.61	outside_boundary_exact	SRP-L-0003616	40.583332,-114.98333	Nevada, Elko County	South of Wells NV.	https://lichenportal.org/portal/collections/individual/index.php?occid=1125298
1212113	SRP	Roger Rosentreter	Nevada	White Pine	51.61	outside_boundary_exact	SRP-L-0007457	40.583332,-114.98333	Nevada, Elko County	South of Wells NV.	https://lichenportal.org/portal/collections/individual/index.php?occid=1212113
1446476	SRP	Roger Rosentreter	Nevada	White Pine	51.61	outside_boundary_exact	SRP-L-0009651	40.583332,-114.98333	Nevada, Elko County	South of Wells NV.	https://lichenportal.org/portal/collections/individual/index.php?occid=1446476
1129434	SRP	Roger Rosentreter	Nevada	Humboldt	33.62	outside_boundary_exact	SRP-L-0004188	40.556801,-118.230202	Nevada, Pershing County	North fork of the Little Humboldt River north of Winnemucca Nevada.	https://lichenportal.org/portal/collections/individual/index.php?occid=1129434
1447578	SRP	Roger Rosentreter	Nevada	Humboldt	33.62	outside_boundary_exact	SRP-L-0011591	40.556801,-118.230202	Nevada, Pershing County	North fork of the Little Humboldt River north of Winnemucca Nevada.	https://lichenportal.org/portal/collections/individual/index.php?occid=1447578
1443923	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	SRP-L-0007750	36.020001,-114.706001	Arizona, Mohave County	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1443923
1445409	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	SRP-L-0001796	36.020001,-114.706001	Arizona, Mohave County	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1445409
1445565	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	SRP-L-0001719	36.020001,-114.706001	Arizona, Mohave County	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1445565
1443921	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	SRP-L-0007748	36.020001,-114.706001	Arizona, Mohave County	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1443921
1443922	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	SRP-L-0007749	36.020001,-114.706001	Arizona, Mohave County	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1443922
1447715	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	SRP-L-0011728	36.020001,-114.706001	Arizona, Mohave County	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1447715
1129848	SRP	Roger Rosentreter	Nevada	Clark	1.7	outside_boundary_exact	SRP-L-0001107	36.020001,-114.706001	Arizona, Mohave County	Lake Mead National Recreation Area, Mojave Desert.	https://lichenportal.org/portal/collections/individual/index.php?occid=1129848
1445410	SRP	Roger Rosentreter	Nevada	Las Vegas	NA	county_not_matched_no_match	SRP-L-0001797	36.310001,-114.730003	county_not_matched	Approx. 10 miles E. of Las Vegas Nevada.	https://lichenportal.org/portal/collections/individual/index.php?occid=1445410
1212010	SRP	Roger Rosentreter	Nevada	Las Vegas	NA	county_not_matched_no_match	SRP-L-0007352	36.185001,-114.910004	county_not_matched	Approx. 3 miles E of Las Vegas Nevada.	https://lichenportal.org/portal/collections/individual/index.php?occid=1212010
1209180	SRP	Roger Rosentreter	Nevada	Las Vegas	NA	county_not_matched_no_match	SRP-L-0006110	36.185001,-114.910004	county_not_matched	Approx. 3 miles E of Las Vegas Nevada.	https://lichenportal.org/portal/collections/individual/index.php?occid=1209180
