institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
TENN	R.K. Godfrey	Florida	Wakulla	550.22	outside_boundary_exact	not_found_in_US	25.333333,-81.716667	TENN-L-0007285	South of Newport, on the shores of the Gulf of Mexico	https://lichenportal.org/portal/collections/individual/index.php?occid=1113401
TENN	Carolyn Varner	Florida	Liberty	375.65	outside_boundary_exact	Florida, Hardee County	27.610868,-81.826194	TENN-L-0007861	3 miles from Torreya park	https://lichenportal.org/portal/collections/individual/index.php?occid=1113977
TENN	A.J. Sharp	Florida	Collier	180.14	outside_boundary_exact	Florida, Hillsborough County	28.0573,-82.158	TENN-L-0007862	near Monroe	https://lichenportal.org/portal/collections/individual/index.php?occid=1113978
TENN	NA	Florida	Orange	150.32	outside_boundary_exact	Florida, Levy County	29.37,-83.04	TENN-L-0005619	near Oreo Vista	https://lichenportal.org/portal/collections/individual/index.php?occid=1066789
TENN	RJD	Florida	Osceola	140.91	outside_boundary_exact	Florida, Alachua County	29.528667,-82.19435	TENN-L-0008857	Rt 532 on S side 6.4 miles E of Rt 441	https://lichenportal.org/portal/collections/individual/index.php?occid=5078943
TENN	Rachel L. Lowe	Florida	Dade	63.7	outside_boundary_partial_match	Florida, Collier County	26.00819,-81.502631	TENN-L-0003140	Royal Palm Hammocks	https://lichenportal.org/portal/collections/individual/index.php?occid=1045834
TENN	R. A. Pursell	Florida	Santa Rosa	4.62	outside_boundary_exact	Florida, Escambia County	30.321586,-87.27246	TENN-L-0002203	Fort Pickens State Park, west end of Santa Rosa Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1044897
TENN	Ronald A. Pursell	Florida	Santa Rosa	4.62	outside_boundary_exact	Florida, Escambia County	30.321586,-87.27246	TENN-L-0002405	Fort Pickens State Park, west end of Santa Rosa Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1045099
TENN	Rick Demmer	Florida	Lake	4.52	outside_boundary_exact	Florida, Orange County	28.679717,-81.612341	TENN-L-0008866	Lake Apopka, north shore	https://lichenportal.org/portal/collections/individual/index.php?occid=5078952
TENN	Rick Demmer	Florida	Orange	2.9	outside_boundary_exact	Florida, Brevard County	28.322498,-80.853775	TENN-L-0008863	Tosahatchee State Preserve South of Rt 520 near TOS1 in historically cleared and cultivated area.	https://lichenportal.org/portal/collections/individual/index.php?occid=5078949
TENN	Rick Demmer	Florida	Orange	2.9	outside_boundary_exact	Florida, Brevard County	28.322498,-80.853775	TENN-L-0008879	Tosahatchee State Preserve South of Rt 520 near TOS1 in historically cleared and cultivated area.	https://lichenportal.org/portal/collections/individual/index.php?occid=5078965
TENN	NA	Florida	Orange	2.61	outside_boundary_exact	Florida, Seminole County	28.702215,-81.418838	TENN-L-0005989	Wekiva Springs	https://lichenportal.org/portal/collections/individual/index.php?occid=1065164
TENN	NA	Florida	Orange	2.39	outside_boundary_exact	Florida, Seminole County	28.698608,-81.425626	TENN-L-0001935	Wekiva Springs	https://lichenportal.org/portal/collections/individual/index.php?occid=1015948
TENN	NA	Florida	Orange	2.39	outside_boundary_exact	Florida, Seminole County	28.698608,-81.425626	TENN-L-0003130	Wekiva Springs	https://lichenportal.org/portal/collections/individual/index.php?occid=1045824
TENN	NA	Florida	Orange	2.39	outside_boundary_exact	Florida, Seminole County	28.698608,-81.425626	TENN-L-0003137	Wekiva Springs	https://lichenportal.org/portal/collections/individual/index.php?occid=1045831
TENN	NA	Florida	Orange	2.39	outside_boundary_exact	Florida, Seminole County	28.698608,-81.425626	TENN-L-0003660	Wekiva Springs	https://lichenportal.org/portal/collections/individual/index.php?occid=1046354
TENN	J.W. Thomson	Florida	Liberty	2.38	outside_boundary_exact	Florida, Gadsden County	30.627184,-84.900808	TENN-L-0003561	Aspalaga Bluff	https://lichenportal.org/portal/collections/individual/index.php?occid=1046255
TENN	NA	Florida	Orange	0.48	outside_boundary_exact	Florida, Seminole County	28.71,-81.45	TENN-L-0005841	Wekiwa Springs	https://lichenportal.org/portal/collections/individual/index.php?occid=1067011
TENN	P.O. Schallert	Florida	Orange	0.05	outside_boundary_exact	Florida, Seminole County	28.713052,-81.45896	TENN-L-0006724	Wekiwa Springs	https://lichenportal.org/portal/collections/individual/index.php?occid=1112840
TENN	P.O. Schallert	Florida	Orange	0.05	outside_boundary_exact	Florida, Seminole County	28.713052,-81.45896	TENN-L-0006741	Wekiwa Springs	https://lichenportal.org/portal/collections/individual/index.php?occid=1112857
TENN	Rick Demmer	Florida	Colombia	NA	county_not_matched_no_match	county_not_matched	30.289426,-82.56468	TENN-L-0008868	Osceola National Forest, N of I-10, Cypress head W of Thomas Camp Rd	https://lichenportal.org/portal/collections/individual/index.php?occid=5078954
