institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
TENN	Ken E. Rogers	Mississippi	Wilkinson	242.63	outside_boundary_exact	Mississippi, Holmes County	33.197072,-89.777305	TENN-L-0006462	13 miles west of jet 33 and 24 off highway 24	https://lichenportal.org/portal/collections/individual/index.php?occid=1112579
TENN	Ken E. Rogers	Mississippi	Wilkinson	242.63	outside_boundary_exact	Mississippi, Holmes County	33.197072,-89.777305	TENN-L-0006473	13 miles west of jet 33 and 24 off highway 24	https://lichenportal.org/portal/collections/individual/index.php?occid=1112590
TENN	Ken E. Rogers	Mississippi	Wilkinson	242.63	outside_boundary_exact	Mississippi, Holmes County	33.197072,-89.777305	TENN-L-0006537	13 miles west of jet 33 and 24 off highway 24	https://lichenportal.org/portal/collections/individual/index.php?occid=1112654
TENN	Ken E. Rogers	Mississippi	Wilkinson	242.31	outside_boundary_exact	Mississippi, Holmes County	33.19,-89.77	TENN-L-0005852	13 miles West of of Junction 33 and 24, off highway 24	https://lichenportal.org/portal/collections/individual/index.php?occid=1067022
TENN	Ken E. Rogers	Mississippi	Jackson	189.73	outside_boundary_exact	Mississippi, Scott County	32.364589,-89.474235	TENN-L-0006464	Ole Miss Forestry lands	https://lichenportal.org/portal/collections/individual/index.php?occid=1112581
TENN	NA	Mississippi	Jackson	189.12	outside_boundary_exact	Mississippi, Scott County	32.36,-89.47	TENN-L-0005822	Ole Miss Forestry lands	https://lichenportal.org/portal/collections/individual/index.php?occid=1066992
TENN	Ken E. Rogers	Mississippi	Jackson	189.12	outside_boundary_exact	Mississippi, Scott County	32.36,-89.47	TENN-L-0005874	Ole Miss Forestry lands	https://lichenportal.org/portal/collections/individual/index.php?occid=1067044
TENN	Ken E. Rogers	Mississippi	Jackson	110.94	outside_boundary_exact	Mississippi, Wayne County	31.732938,-88.880326	TENN-L-0007108	PineGrove Methodist Church	https://lichenportal.org/portal/collections/individual/index.php?occid=1113224
TENN	Ken E. Rogers	Mississippi	Jackson	110.94	outside_boundary_exact	Mississippi, Wayne County	31.732938,-88.880326	TENN-L-0007111	Pine Grove Methodist Church	https://lichenportal.org/portal/collections/individual/index.php?occid=1113227
TENN	Ken E. Rogers	Mississippi	Harrison	39.23	outside_boundary_exact	Mississippi, Perry County	31.03,-88.99	TENN-L-0005717	DeSoto National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1066887
TENN	Ken E. Rogers	Mississippi	Amite	23.78	outside_boundary_exact	Mississippi, Wilkinson County	31.16,-91.31	TENN-L-0005632	Jet. 33 and 563 at Wilkinson Co. line	https://lichenportal.org/portal/collections/individual/index.php?occid=1066802
TENN	Ken E. Rogers with Louise Rogers	Mississippi	Lamar	17.73	outside_boundary_exact	Mississippi, Forrest County	31.357207,-89.161247	TENN-L-0005690	3 miles east of Petal Senior High School, Petal, Old Rlchton Road, Broom Farm	https://lichenportal.org/portal/collections/individual/index.php?occid=1066860
TENN	Ken E. Rogers	Mississippi	Lamar	14.01	outside_boundary_exact	Mississippi, Forrest County	31.34,-89.2	TENN-L-0005917	3 miles east of Petal Senior High School, Old Richton Road, Broom Farm	https://lichenportal.org/portal/collections/individual/index.php?occid=1067087
TENN	Ken E. Rogers with Louise Rogers	Mississippi	Lamar	13.16	outside_boundary_exact	Mississippi, Forrest County	31.34638,-89.209014	TENN-L-0000733	3 mi E of Petal Senior High School, Old Richton Road, Broom Farm	https://lichenportal.org/portal/collections/individual/index.php?occid=1014749
TENN	Ken E. Rogers	Mississippi	Lamar	13.15	outside_boundary_exact	Mississippi, Forrest County	31.346553,-89.209074	TENN-L-0006709	3 miles East of Petal Senior HI School, Petal, Old Rlchton Boad	https://lichenportal.org/portal/collections/individual/index.php?occid=1112825
TENN	Ken E. Rogers	Mississippi	Lamar	13.15	outside_boundary_exact	Mississippi, Forrest County	31.346553,-89.209074	TENN-L-0007371	3 miles east of Petal Senior High School, Petal, Old Rlchton Road, Broom Farm	https://lichenportal.org/portal/collections/individual/index.php?occid=1113487
TENN	Ken E. Rogers	Mississippi	Forrest	11.69	outside_boundary_exact	Mississippi, Jones County	31.539056,-89.143391	TENN-L-0006012	Johnson State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1112130
TENN	Ken E. Rogers	Mississippi	Forrest	10.7	outside_boundary_exact	Mississippi, Jones County	31.53,-89.14	TENN-L-0005853	Johnson State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1067023
