id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1066068	TENN	TENN-L-0004898	S.A. Cain	NA	67.61	Georgia	Fannin	34.98	-83.37	outside_boundary_exact	Georgia, Rabun County	near MacCaysville	https://lichenportal.org/portal/collections/individual/index.php?occid=1066068
1010636	TENN	TENN-L-0000308	A. C. Skorepa	2879	13.7	Georgia	Charlton	30.666893	-82.333179	outside_boundary_exact	Georgia, Ware County	Okefenokee Swamp on Billy's Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1010636
1044915	TENN	TENN-L-0002221	Skorepa	2492	13.7	Georgia	Charlton	30.666893	-82.333179	outside_boundary_exact	Georgia, Ware County	Okefenokee Swamp: Billy's Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1044915
1045368	TENN	TENN-L-0002674	Skorepa	2495	13.7	Georgia	Charlton	30.666893	-82.333179	outside_boundary_exact	Georgia, Ware County	Okefenokee Swamp: Billy's Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1045368
1112998	TENN	TENN-L-0006882	NA	NA	13.7	Georgia	Charlton	30.666893	-82.333179	outside_boundary_exact	Georgia, Ware County	Okefenokee Swamp on Billy's Island Habitat	https://lichenportal.org/portal/collections/individual/index.php?occid=1112998
1113879	TENN	TENN-L-0007763	A.C Skorepa	NA	13.7	Georgia	Charlton	30.666893	-82.333179	outside_boundary_exact	Georgia, Ware County	OKEFENOKEE SWAMP: Billy's Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1113879
5078973	TENN	TENN-L-0008887	Rick Demmer	294006	2.13	Georgia	Chatham	32.22069	-81.110699	outside_boundary_exact	South Carolina, Jasper County	Savannah, near Savannah River National Wildlie Refuge, East of I-95, West of Savannah River	https://lichenportal.org/portal/collections/individual/index.php?occid=5078973
1045102	TENN	TENN-L-0002408	G.L. Webster	2717	1.63	Georgia	Ben Hill Co.	31.86005	-83.25266	outside_boundary_exact	Georgia, Wilcox County	10 mi. N of Fitzgerald and 12 mi. S of Abbeville.	https://lichenportal.org/portal/collections/individual/index.php?occid=1045102
1066989	TENN	TENN-L-0005819	A.C. Skorepa and G. Folkerts	NA	0.39	Georgia	Ware	31.01	-82.34	outside_boundary_exact	Georgia, Charlton County	Okefenokee Swamp	https://lichenportal.org/portal/collections/individual/index.php?occid=1066989
1046532	TENN	TENN-L-0003838	A.C. Skorepa	5250	0.14	Georgia	Union	34.87222	-83.81	outside_boundary_exact	Georgia, Towns County	Brasstown Bald	https://lichenportal.org/portal/collections/individual/index.php?occid=1046532
