id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
6045532	UBC	L68050	Björk, Curtis	10427	54.58	132.95	Washington	Skamania County	45.715	-120.82	outside_boundary_exact	Washington, Klickitat County	Skamania County, shortly west of Stevenson, slopes north above Hwy 14	https://lichenportal.org/portal/collections/individual/index.php?occid=6045532
6045533	UBC	L68051	Björk, Curtis	10432	54.58	132.95	Washington	Skamania County	45.715	-120.82	outside_boundary_exact	Washington, Klickitat County	Skamania County, shortly west of Stevenson, slopes north above Hwy 14	https://lichenportal.org/portal/collections/individual/index.php?occid=6045533
6045534	UBC	L68052	Björk, Curtis	10434	54.58	132.95	Washington	Skamania County	45.715	-120.82	outside_boundary_exact	Washington, Klickitat County	Skamania County, shortly west of Stevenson, slopes north above Hwy 14	https://lichenportal.org/portal/collections/individual/index.php?occid=6045534
6045547	UBC	L68043	Björk, Curtis	10539	1.21	115.35	Washington	Klickitat County	45.666667	-121.25	outside_boundary_exact	Oregon, Wasco County	Klickitat County, 0.7 mi west of Dougs Beach, Columbia River Gorge	https://lichenportal.org/portal/collections/individual/index.php?occid=6045547
6045548	UBC	L68044	Björk, Curtis	10541	1.21	115.35	Washington	Klickitat County	45.666667	-121.25	outside_boundary_exact	Oregon, Wasco County	Klickitat County, 0.7 mi west of Dougs Beach, Columbia River Gorge	https://lichenportal.org/portal/collections/individual/index.php?occid=6045548
6045549	UBC	L68049	Björk, Curtis	10542	1.21	115.35	Washington	Klickitat County	45.666667	-121.25	outside_boundary_exact	Oregon, Wasco County	Klickitat County, 0.7 mi west of Dougs Beach, Columbia River Gorge	https://lichenportal.org/portal/collections/individual/index.php?occid=6045549
6045550	UBC	L68022	Björk, Curtis	10543	1.21	115.35	Washington	Klickitat County	45.666667	-121.25	outside_boundary_exact	Oregon, Wasco County	Klickitat County, 0.7 mi west of Dougs Beach, Columbia River Gorge	https://lichenportal.org/portal/collections/individual/index.php?occid=6045550
6045551	UBC	L68045	Björk, Curtis	10546	1.21	115.35	Washington	Klickitat County	45.666667	-121.25	outside_boundary_exact	Oregon, Wasco County	Klickitat County, 0.7 mi west of Dougs Beach, Columbia River Gorge	https://lichenportal.org/portal/collections/individual/index.php?occid=6045551
6045552	UBC	L68046	Björk, Curtis	10547	1.21	115.35	Washington	Klickitat County	45.666667	-121.25	outside_boundary_exact	Oregon, Wasco County	Klickitat County, 0.7 mi west of Dougs Beach, Columbia River Gorge	https://lichenportal.org/portal/collections/individual/index.php?occid=6045552
6045553	UBC	L68025	Björk, Curtis	10551	1.21	115.35	Washington	Klickitat County	45.666667	-121.25	outside_boundary_exact	Oregon, Wasco County	Klickitat County, 0.7 mi west of Dougs Beach, Columbia River Gorge	https://lichenportal.org/portal/collections/individual/index.php?occid=6045553
6045554	UBC	L68008	Björk, Curtis	10558	1.21	115.35	Washington	Klickitat County	45.666667	-121.25	outside_boundary_exact	Oregon, Wasco County	Klickitat County, 0.7 mi west of Dougs Beach, Columbia River Gorge	https://lichenportal.org/portal/collections/individual/index.php?occid=6045554
6045555	UBC	L68042	Björk, Curtis	10571	1.21	115.35	Washington	Klickitat County	45.666667	-121.25	outside_boundary_exact	Oregon, Wasco County	Klickitat County, 0.7 mi west of Dougs Beach, Columbia River Gorge	https://lichenportal.org/portal/collections/individual/index.php?occid=6045555
6045556	UBC	L68041	Björk, Curtis	10578	1.21	115.35	Washington	Klickitat County	45.666667	-121.25	outside_boundary_exact	Oregon, Wasco County	Klickitat County, 0.7 mi west of Dougs Beach, Columbia River Gorge	https://lichenportal.org/portal/collections/individual/index.php?occid=6045556
