id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1605713	UC	UC1775837	D. H. Norris, Nancy M. Hillyard	108649	1267.07	Georgia	White	46.133333	-83.735	outside_boundary_exact	not_found_in_US	along Andrews Cove Trail, Chattahoochee National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1605713
1479256	UC	UC1769415	D. H. Norris, Nancy M. Hillyard	NA	265.19	Georgia	Habersham	34.698333	-80.42	outside_boundary_exact	South Carolina, Chesterfield County	along Panther Creek west of Parking Lot for Panther Creek State Park along Hwy. 441	https://lichenportal.org/portal/collections/individual/index.php?occid=1479256
1483259	UC	UC1769355	D. H. Norris, Nancy M. Hillyard	NA	265.19	Georgia	Habersham	34.698333	-80.42	outside_boundary_exact	South Carolina, Chesterfield County	along Panther Creek west of Parking Lot for Panther Creek State Park along Hwy. 441	https://lichenportal.org/portal/collections/individual/index.php?occid=1483259
1487409	UC	UC1946634	D. H. Norris, Nancy M. Hillyard	107018	265.19	Georgia	Habersham	34.698333	-80.42	outside_boundary_exact	South Carolina, Chesterfield County	along Panther Creek west of Parking Lot for Panther Creek State Park along Hwy. 441	https://lichenportal.org/portal/collections/individual/index.php?occid=1487409
1487881	UC	UC1946633	D. H. Norris, Nancy M. Hillyard	107011	265.19	Georgia	Habersham	34.698333	-80.42	outside_boundary_exact	South Carolina, Chesterfield County	along Panther Creek west of Parking Lot for Panther Creek State Park along Hwy. 441	https://lichenportal.org/portal/collections/individual/index.php?occid=1487881
1488186	UC	UC1946635	D. H. Norris, Nancy M. Hillyard	107019	265.19	Georgia	Habersham	34.698333	-80.42	outside_boundary_exact	South Carolina, Chesterfield County	along Panther Creek west of Parking Lot for Panther Creek State Park along Hwy. 441	https://lichenportal.org/portal/collections/individual/index.php?occid=1488186
1511135	UC	UC1769349	D. H. Norris, Nancy M. Hillyard	107042	265.19	Georgia	Habersham	34.698333	-80.42	outside_boundary_exact	South Carolina, Chesterfield County	along Panther Creek west of Parking Lot for Panther Creek State Park along Hwy. 441	https://lichenportal.org/portal/collections/individual/index.php?occid=1511135
1511143	UC	UC1769348	D. H. Norris, Nancy M. Hillyard	107029	265.19	Georgia	Habersham	34.698333	-80.42	outside_boundary_exact	South Carolina, Chesterfield County	along Panther Creek west of Parking Lot for Panther Creek State Park along Hwy. 441	https://lichenportal.org/portal/collections/individual/index.php?occid=1511143
1511189	UC	UC1667654	D. H. Norris, Nancy M. Hillyard	107029	265.19	Georgia	Habersham	34.698333	-80.42	outside_boundary_exact	South Carolina, Chesterfield County	along Panther Creek west of Parking Lot for Panther Creek State Park along Hwy. 441	https://lichenportal.org/portal/collections/individual/index.php?occid=1511189
1551956	UC	UC2012410	D. H. Norris, Nancy M. Hillyard	107047	265.19	Georgia	Habersham	34.698333	-80.42	outside_boundary_exact	South Carolina, Chesterfield County	along Panther Creek west of Parking Lot for Panther Creek State Park along Hwy. 441	https://lichenportal.org/portal/collections/individual/index.php?occid=1551956
