id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
2591215	UCR(temp)	SBBG028975L	B.D. Ryan	30563a	3.24	118.44	Washington	Skagit	48.266667	-121.258333	outside_boundary_exact	Washington, Snohomish County	Mt. Baker-Snoqualmie National Forest; off Rd 2680, Plot 3.	https://lichenportal.org/portal/collections/individual/index.php?occid=2591215
2597265	UCR(temp)	UCR-184885	B.D. Ryan	30485	2.78	119.48	Washington	Skagit	48.27083	-121.24167	outside_boundary_exact	Washington, Snohomish County	Mt. Baker, Green Mountain Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=2597265
2597429	UCR(temp)	UCR-185350	B.D. Ryan	30492	2.78	119.48	Washington	Skagit	48.27083	-121.24167	outside_boundary_exact	Washington, Snohomish County	Mt. Baker, Green Mountain Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=2597429
2592139	UCR(temp)	SBBG021419L	B.D. Ryan	30385	1.41	119.06	Washington	Skagit	48.283333	-121.241667	outside_boundary_exact	Washington, Snohomish County	Glacier Peak Wilderness. Plot 5 off Green Mtn Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=2592139
2590041	UCR(temp)	SBBG001620L	B.D. Ryan	30721	0.48	106.33	Washington	Skagit	48.291667	-121.416667	outside_boundary_exact	Washington, Snohomish County	Mt. Baker-Snoqualmie National Forest, along road 2600-012, south of Road 26, mile 11-12	https://lichenportal.org/portal/collections/individual/index.php?occid=2590041
2591808	UCR(temp)	SBBG017177L	B.D. Ryan	30634a	0.48	106.33	Washington	Skagit	48.291667	-121.416667	outside_boundary_exact	Washington, Snohomish County	Mt. Baker-Snoqualmie National Forest, along road 2600-012, south of Road 26, mile 11-12	https://lichenportal.org/portal/collections/individual/index.php?occid=2591808
2590257	UCR(temp)	UCR-135431	B.D. Ryan	30628	0.47	106.33	Washington	Skagit	48.29167	-121.41667	outside_boundary_exact	Washington, Snohomish County	Mt. Baker-Snoqualmie National Forest, along road 2600-012, south of Road 26, mile 11-12	https://lichenportal.org/portal/collections/individual/index.php?occid=2590257
2591524	UCR(temp)	UCR-144682	B.D. Ryan	30635	0.47	106.33	Washington	Skagit	48.29167	-121.41667	outside_boundary_exact	Washington, Snohomish County	Mt. Baker-Snoqualmie National Forest, along road 2600-012, south of Road 26, mile 11-12	https://lichenportal.org/portal/collections/individual/index.php?occid=2591524
2591718	UCR(temp)	UCR-155218	B.D. Ryan	30636	0.47	106.33	Washington	Skagit	48.29167	-121.41667	outside_boundary_exact	Washington, Snohomish County	Mt. Baker-Snoqualmie National Forest, along road 2600-012, south of Road 26, mile 11-12	https://lichenportal.org/portal/collections/individual/index.php?occid=2591718
2591719	UCR(temp)	UCR-155219	B.D. Ryan	30637	0.47	106.33	Washington	Skagit	48.29167	-121.41667	outside_boundary_exact	Washington, Snohomish County	Mt. Baker-Snoqualmie National Forest, along road 2600-012, south of Road 26, mile 11-12	https://lichenportal.org/portal/collections/individual/index.php?occid=2591719
2592275	UCR(temp)	UCR-144728	B.D. Ryan	s.n.	0.47	106.33	Washington	Skagit	48.29167	-121.41667	outside_boundary_exact	Washington, Snohomish County	Mt. Baker-Snoqualmie National Forest, along road 2600-012, south of Road 26, mile 11-12	https://lichenportal.org/portal/collections/individual/index.php?occid=2592275
2592282	UCR(temp)	UCR-144705	B.D. Ryan	30625	0.47	106.33	Washington	Skagit	48.29167	-121.41667	outside_boundary_exact	Washington, Snohomish County	Mt. Baker-Snoqualmie National Forest, along road 2600-012, south of Road 26, mile 11-12	https://lichenportal.org/portal/collections/individual/index.php?occid=2592282
2596065	UCR(temp)	UCR-177075	B.D. Ryan	30628	0.47	106.33	Washington	Skagit	48.29167	-121.41667	outside_boundary_exact	Washington, Snohomish County	Mt. Baker-Snoqualmie National Forest, along road 2600-012, south of Road 26, mile 11-12	https://lichenportal.org/portal/collections/individual/index.php?occid=2596065
2597528	UCR(temp)	UCR-185505	B.D. Ryan	30647A	0.47	106.33	Washington	Skagit	48.29167	-121.41667	outside_boundary_exact	Washington, Snohomish County	Mt. Baker-Snoqualmie National Forest, along road 2600-012, south of Road 26, mile 11-12	https://lichenportal.org/portal/collections/individual/index.php?occid=2597528
2597693	UCR(temp)	UCR-185739	B.D. Ryan	30628	0.47	106.33	Washington	Skagit	48.29167	-121.41667	outside_boundary_exact	Washington, Snohomish County	Mt. Baker-Snoqualmie National Forest, along road 2600-012, south of Road 26, mile 11-12	https://lichenportal.org/portal/collections/individual/index.php?occid=2597693
