institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
UNLV	Sam Shushan	Colorado	Summit	0.34	outside_boundary_exact	Colorado, Summit County	39.65,-105.85	UNLV-L-0000127	NE of Loveland Pass; 32.2 km SW of Idaho Springs	https://lichenportal.org/portal/collections/individual/index.php?occid=1819457
UNLV	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.3666667	UNLV-L-0000146	0.8 km south of Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1819366
UNLV	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.366667	UNLV-L-0000097	ca. 0.08 km south of Wyoming State line; north of Virginia Dale	https://lichenportal.org/portal/collections/individual/index.php?occid=1819388
UNLV	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.366667	UNLV-L-0000150	ca. 0.8 km S of Wyoming state line (just N of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1819403
UNLV	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.36667	UNLV-L-0000109	0.8 km south of Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1819405
UNLV	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.366667	UNLV-L-0000163	ca. 0.8 km S of Wyoming state line (just N of Virginia Dale); 41 -105.366667	https://lichenportal.org/portal/collections/individual/index.php?occid=1819444
UNLV	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.36667	UNLV-L-0000129	0.8 km south of Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1819450
UNLV	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.36667	UNLV-L-0000131	0.8 km south of Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1819483
UNLV	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.3666667	UNLV-L-0000138	0.8 km south of Wyoming State Line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1819487
UNLV	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.366667	UNLV-L-0000168	ca. 0.8 km S of Wyoming state line (just N of Virginia Dale); 41 -105.366667	https://lichenportal.org/portal/collections/individual/index.php?occid=1819498
UNLV	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.3666667	UNLV-L-0000128	0.8 km south of Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1819510
UNLV	Sam Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.3666667	UNLV-L-0000154	ca. 0.8 km S of Wyoming state line (just N of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1819511
