id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1819457	UNLV	UNLV-L-0000127	Sam Shushan	sl-1569	0.34	58.45	Colorado	Summit	39.65	-105.85	outside_boundary_exact	Colorado, Clear Creek County	NE of Loveland Pass; 32.2 km SW of Idaho Springs	https://lichenportal.org/portal/collections/individual/index.php?occid=1819457
1819366	UNLV	UNLV-L-0000146	Sam Shushan	sl-67	0.24	86.71	Colorado	Larimer	41	-105.3666667	outside_boundary_exact	Wyoming, Albany County	0.8 km south of Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1819366
1819388	UNLV	UNLV-L-0000097	Sam Shushan	sl-60	0.24	86.71	Colorado	Larimer	41	-105.366667	outside_boundary_exact	Wyoming, Albany County	ca. 0.08 km south of Wyoming State line; north of Virginia Dale	https://lichenportal.org/portal/collections/individual/index.php?occid=1819388
1819403	UNLV	UNLV-L-0000150	Sam Shushan	sl-87	0.24	86.71	Colorado	Larimer	41	-105.366667	outside_boundary_exact	Wyoming, Albany County	ca. 0.8 km S of Wyoming state line (just N of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1819403
1819405	UNLV	UNLV-L-0000109	Sam Shushan	sl-1515	0.24	86.71	Colorado	Larimer	41	-105.36667	outside_boundary_exact	Wyoming, Albany County	0.8 km south of Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1819405
1819444	UNLV	UNLV-L-0000163	Sam Shushan	sl-66B	0.24	86.71	Colorado	Larimer	41	-105.366667	outside_boundary_exact	Wyoming, Albany County	ca. 0.8 km S of Wyoming state line (just N of Virginia Dale); 41 -105.366667	https://lichenportal.org/portal/collections/individual/index.php?occid=1819444
1819450	UNLV	UNLV-L-0000129	Sam Shushan	sl-61	0.24	86.71	Colorado	Larimer	41	-105.36667	outside_boundary_exact	Wyoming, Albany County	0.8 km south of Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1819450
1819483	UNLV	UNLV-L-0000131	Sam Shushan	sl-58	0.24	86.71	Colorado	Larimer	41	-105.36667	outside_boundary_exact	Wyoming, Albany County	0.8 km south of Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1819483
1819487	UNLV	UNLV-L-0000138	Sam Shushan	sl-80	0.24	86.71	Colorado	Larimer	41	-105.3666667	outside_boundary_exact	Wyoming, Albany County	0.8 km south of Wyoming State Line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1819487
1819498	UNLV	UNLV-L-0000168	Sam Shushan	sl-69	0.24	86.71	Colorado	Larimer	41	-105.366667	outside_boundary_exact	Wyoming, Albany County	ca. 0.8 km S of Wyoming state line (just N of Virginia Dale); 41 -105.366667	https://lichenportal.org/portal/collections/individual/index.php?occid=1819498
1819510	UNLV	UNLV-L-0000128	Sam Shushan	sl-76	0.24	86.71	Colorado	Larimer	41	-105.3666667	outside_boundary_exact	Wyoming, Albany County	0.8 km south of Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1819510
1819511	UNLV	UNLV-L-0000154	Sam Shushan	sl-81	0.24	86.71	Colorado	Larimer	41	-105.3666667	outside_boundary_exact	Wyoming, Albany County	ca. 0.8 km S of Wyoming state line (just N of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=1819511
