institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
UNM	T. L. Esslinger	Washington	Spokane	75.08	outside_boundary_exact	Idaho, Latah County	46.625,-116.6917	NA	1 mile NE of Millwood and just north of the Spokane R., at the top of Riblets Hill.	https://lichenportal.org/portal/collections/individual/index.php?occid=3125342
UNM	H.R. Simms	Washington	Spokane	28.84	outside_boundary_exact	Idaho, Latah County	47,-117	NA	Turnbull National Wildlife Refuge.	https://lichenportal.org/portal/collections/individual/index.php?occid=3124341
UNM	H.R. Simms	Washington	Spokane	28.84	outside_boundary_exact	Idaho, Latah County	47,-117	NA	Turnbull National Wildlife Refuge.	https://lichenportal.org/portal/collections/individual/index.php?occid=3124342
UNM	H.R. Simms	Washington	Spokane	28.84	outside_boundary_exact	Idaho, Latah County	47,-117	NA	Turnbull National Wildlife Refuge.	https://lichenportal.org/portal/collections/individual/index.php?occid=3124776
UNM	H.R. Simms	Washington	Spokane	28.84	outside_boundary_exact	Idaho, Latah County	47,-117	NA	N/A	https://lichenportal.org/portal/collections/individual/index.php?occid=3124070
UNM	H.R. Simms	Washington	Spokane	28.84	outside_boundary_exact	Idaho, Latah County	47,-117	NA	Turnbull National Wildlife Refuge.	https://lichenportal.org/portal/collections/individual/index.php?occid=3124784
UNM	H.R. Simms	Washington	Spokane	28.84	outside_boundary_exact	Idaho, Latah County	47,-117	NA	Turnbull National Wildlife Refuge.	https://lichenportal.org/portal/collections/individual/index.php?occid=3124780
UNM	H.R. Simms	Washington	Lincoln	20.03	outside_boundary_exact	Washington, Adams County	47.08,-118.71	NA	Vic. Wilbur.	https://lichenportal.org/portal/collections/individual/index.php?occid=3125215
UNM	G. D. Carr	Washington	Spokane	3.17	outside_boundary_exact	Idaho, Kootenai County	47.75,-117	NA	Ca. 2 miles northwest of Spokane, Riverside State Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=3124886
UNM	T. L. Esslinger	Washington	Garfield	1.4	outside_boundary_exact	Washington, Whitman County	46.63,-117.37	NA	Along the Snake River, vicinity of Wawawai	https://lichenportal.org/portal/collections/individual/index.php?occid=3125179
UNM	T. L. Esslinger	Washington	Garfield	1.4	outside_boundary_exact	Washington, Whitman County	46.63,-117.37	NA	Along the Snake River, vicinity of Wawawai.	https://lichenportal.org/portal/collections/individual/index.php?occid=3124677
UNM	T. L. Esslinger	Washington	Wallowa	NA	county_not_matched_no_match	county_not_matched	45.38,-117.42	NA	Near Pole Bridge Forest Camp along the Lostline R.	https://lichenportal.org/portal/collections/individual/index.php?occid=3124268
