occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
2802669	US	R. Rosentreter	Idaho	Ada	11807.35	outside_boundary_exact	NA	2,-1	not_found_in_US	S of Boise	https://lichenportal.org/portal/collections/individual/index.php?occid=2802669
3601449	US	R. Holmgren	Idaho	Cassia	10678.2	outside_boundary_exact	NA	-13,-26	not_found_in_US	4 mi S of Malta, Raft River Valley.	https://lichenportal.org/portal/collections/individual/index.php?occid=3601449
2801598	US	K. Gusick	Idaho	Boise	187.76	outside_boundary_exact	NA	45.9417,-116.142	Idaho, Idaho County	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=2801598
2801848	US	T. L. Esslinger	Idaho	Kootenai	167.99	outside_boundary_exact	NA	45.85,-116.87	Oregon, Wallowa County	Near the S end of Lower Twin Lake in a Douglas forest on E slope.	https://lichenportal.org/portal/collections/individual/index.php?occid=2801848
3369384	US	-- Anderson & -. Shushan	Idaho	Custer	90.54	outside_boundary_exact	NA	43,-113	Idaho, Bingham County	Salmon - Challis National Forest, Smiley Mountain RNA	https://lichenportal.org/portal/collections/individual/index.php?occid=3369384
3592552	US	R. Rosentreter	Idaho	Boise	56.75	outside_boundary_exact	NA	43.13,-115.58	Idaho, Elmore County	Elk Creek Research Natural Area, S of Arrow Rock Dam on the Middle fork of the Boise River	https://lichenportal.org/portal/collections/individual/index.php?occid=3592552
3596204	US	J. Kaltencker	Idaho	Elmore	27.75	outside_boundary_exact	NA	43.17,-116.6	Idaho, Owyhee County	Rattlesnake Creek study area, 4.8 km NE of Mountain Home along US Route 20	https://lichenportal.org/portal/collections/individual/index.php?occid=3596204
3371874	US	J. Kaltenecker	Idaho	Elmore	27.75	outside_boundary_exact	NA	43.17,-116.6	Idaho, Owyhee County	Rattlesnake Creek study area, 4.8 km northeast of Mountain Home along U.S. Route 20.	https://lichenportal.org/portal/collections/individual/index.php?occid=3371874
2815033	US	J. Kaltenecker	Idaho	Elmore	27.75	outside_boundary_exact	NA	43.17,-116.6	Idaho, Owyhee County	Rattlesnake Creek study area, 4.8 km N of Mt Home along US Route 20.	https://lichenportal.org/portal/collections/individual/index.php?occid=2815033
3603095	US	J. Kaltenecker	Idaho	Elmore	27.75	outside_boundary_exact	NA	43.17,-116.6	Idaho, Owyhee County	Rattlesnake Creek study area, 4.8 km N of Mountain Home along US Route 20.	https://lichenportal.org/portal/collections/individual/index.php?occid=3603095
