institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
US	S. Hammer	Vermont	Windham County	46.99	outside_boundary_exact	New York, Washington County	43.33,-73.5	NA	Immediately south of Windham.	https://lichenportal.org/portal/collections/individual/index.php?occid=3363892
US	S. Hammer	Vermont	Windham	46.99	outside_boundary_exact	New York, Washington County	43.33,-73.5	NA	S of Windham	https://lichenportal.org/portal/collections/individual/index.php?occid=2948230
US	S. Hammer	Vermont	Windham	46.99	outside_boundary_exact	New York, Washington County	43.33,-73.5	NA	S of Windham	https://lichenportal.org/portal/collections/individual/index.php?occid=2947307
US	S. Hammer	Vermont	Windham	46.99	outside_boundary_exact	New York, Washington County	43.33,-73.5	NA	S of Windham	https://lichenportal.org/portal/collections/individual/index.php?occid=2944377
US	S. Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	NA	Winhall Township, Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=2944899
US	S. Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	NA	Winhall Township, Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=2943473
US	S. Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	NA	Winhall Township, Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=3365795
US	S. Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	NA	Winhall Township, Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=2944304
US	S. Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	NA	Winhall Township, Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=2947567
US	S. Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	NA	Winhall Township, Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=3370708
US	S. Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	NA	Winhall Township, Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=2947366
US	S. Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	NA	Winhall Township, Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=3375036
US	S. Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	NA	Winhall Township. Green Mountain National Forest near Bondville.	https://lichenportal.org/portal/collections/individual/index.php?occid=2948796
US	S. Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	NA	Winhall Township, Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=3378909
US	S. Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	NA	Winhall Township, Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=2944035
US	S. Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	NA	Winhall Township, Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=3380176
US	S. Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	NA	Winhall Township, Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=3380281
US	S. Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	NA	5 mi. E of Arlington	https://lichenportal.org/portal/collections/individual/index.php?occid=2948229
US	S. Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	NA	Winhall Township, Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=3382754
US	S. Hammer	Vermont	Bennington	0.33	outside_boundary_exact	Vermont, Windham County	43,-73	NA	Winhall Township, Green Mountain National Forest near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=3383326
