occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
3376243	US	C. Wetmore	Wyoming	Weston	5177.71	outside_boundary_exact	NA	12.78,-63	not_found_in_US	Black Hills, along Skull Creek 3.2 mi S of road to Upton (18 mi NW of Newcastle).	https://lichenportal.org/portal/collections/individual/index.php?occid=3376243
5498165	US	C. Wetmore	Wyoming	Weston	5177.71	outside_boundary_exact	NA	12.78,-63	not_found_in_US	Black Hills, along Skull Creek 3.2 mi S of road to Upton (18 mi NW of Newcastle).	https://lichenportal.org/portal/collections/individual/index.php?occid=5498165
2791184	US	C. Wetmore	Wyoming	Weston	5177.71	outside_boundary_exact	NA	12.78,-63	not_found_in_US	Black Hills, along Skull Creek 3.2 mi S of road to Upton (18 mi NW of Newcastle).	https://lichenportal.org/portal/collections/individual/index.php?occid=2791184
2792076	US	C. Wetmore	Wyoming	Weston	3362.66	outside_boundary_exact	NA	46,-61	not_found_in_US	Black Hills, N of Flying V Resort (10 mi N of Newcastle).	https://lichenportal.org/portal/collections/individual/index.php?occid=2792076
3596726	US	C. Wetmore	Wyoming	Weston	3362.66	outside_boundary_exact	NA	46,-61	not_found_in_US	Black Hills, N of Flying V Resort (10 mi N of Newcastle).	https://lichenportal.org/portal/collections/individual/index.php?occid=3596726
3381712	US	C. Wetmore	Wyoming	Weston	3362.66	outside_boundary_exact	NA	46,-61	not_found_in_US	Black Hills, N of Flying V Resort (10 mi N of Newcastle).	https://lichenportal.org/portal/collections/individual/index.php?occid=3381712
3362119	US	W. A. Weber	Wyoming	Campbell	2940.95	outside_boundary_exact	NA	41,-69	not_found_in_US	Rochelle Hills, head of Wildcat and S Fork Keyton Creeks.	https://lichenportal.org/portal/collections/individual/index.php?occid=3362119
2790724	US	W. A. Weber	Wyoming	Campbell	2940.95	outside_boundary_exact	NA	41,-69	not_found_in_US	Rochelle hills, head of Wildcat and Fork Keyton Creeks., Fort Union formation.	https://lichenportal.org/portal/collections/individual/index.php?occid=2790724
4763093	US	W. A. Weber	Wyoming	Campbell	2940.95	outside_boundary_exact	NA	41,-69	not_found_in_US	Rochelle Hills, head of Wildcat and S Fork Keyton Creeks.	https://lichenportal.org/portal/collections/individual/index.php?occid=4763093
3595509	US	W. A. Weber	Wyoming	Campbell	2940.95	outside_boundary_exact	NA	41,-69	not_found_in_US	Rochelle Hills, head of Wildcat and S Fork Keyton Creeks.	https://lichenportal.org/portal/collections/individual/index.php?occid=3595509
3595663	US	W. A. Weber	Wyoming	Campbell	2940.95	outside_boundary_exact	NA	41,-69	not_found_in_US	Rochelle Hills, head of Wildcat and S Fork Keyton Creeks.	https://lichenportal.org/portal/collections/individual/index.php?occid=3595663
2792175	US	W. A. Weber	Wyoming	Campbell	2940.95	outside_boundary_exact	NA	41,-69	not_found_in_US	Rochelle Hills, head of Wildcat and S Fork Keyton Creeks.	https://lichenportal.org/portal/collections/individual/index.php?occid=2792175
2792084	US	W. A. Weber	Wyoming	Campbell	2940.95	outside_boundary_exact	NA	41,-69	not_found_in_US	Rochelle Hills, head of Wildcat and S Fork Keyton Creeks.	https://lichenportal.org/portal/collections/individual/index.php?occid=2792084
4762803	US	B. D. Ryan	Wyoming	Washakie	78	outside_boundary_exact	NA	44.1583,-106.15	Wyoming, Johnson County	W side of Hwy 6, 24 mi. E of Tensleep.	https://lichenportal.org/portal/collections/individual/index.php?occid=4762803
3604196	US	B. D. Ryan	Wyoming	Washakie	78	outside_boundary_exact	NA	44.1583,-106.15	Wyoming, Johnson County	W side of Hwy 6, 24 mi. E of Tensleep.	https://lichenportal.org/portal/collections/individual/index.php?occid=3604196
2800672	US	C. Wetmore	Wyoming	Gallatin	NA	county_not_matched_no_match	NA	45.7156,-110.973	county_not_matched	Gallatin National Forest. "M" Hill, 4 mi N of Bozeman.	https://lichenportal.org/portal/collections/individual/index.php?occid=2800672
