occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
3032090	USCH	Perlmutter, Gary; Beeching, S.; Hodges, M.	South Carolina	Darlington County	82.75	outside_boundary_exact	NA	34.2780556,-78.7516667	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032090
3032119	USCH	Perlmutter, Gary; Beeching, S.; Hodges, M.	South Carolina	Darlington County	82.75	outside_boundary_exact	NA	34.2780556,-78.7516667	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032119
3044226	USCH	Perlmutter, Gary; Beeching, S.; Hodges, M.	South Carolina	Darlington County	82.75	outside_boundary_exact	NA	34.2780556,-78.7516667	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3044226
3032122	USCH	Perlmutter, Gary; Beeching, S.; Hodges, M.	South Carolina	Darlington County	82.75	outside_boundary_exact	NA	34.2780556,-78.7516667	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032122
3032171	USCH	Perlmutter, Gary; Beeching, S.; Hodges, M.	South Carolina	Darlington County	82.75	outside_boundary_exact	NA	34.2780556,-78.7516667	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032171
3032124	USCH	Perlmutter, Gary; Beeching, S.; Hodges, M.	South Carolina	Darlington County	82.75	outside_boundary_exact	NA	34.2780556,-78.7516667	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032124
3044162	USCH	Perlmutter, Gary; Beeching, S.; Hodges, M.	South Carolina	Darlington County	82.75	outside_boundary_exact	NA	34.2780556,-78.7516667	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3044162
3032045	USCH	Perlmutter, Gary; Beeching, S.; Hodges, M.	South Carolina	Darlington County	82.75	outside_boundary_exact	NA	34.2780556,-78.7516667	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032045
3044189	USCH	Perlmutter, Gary; Beeching, S.; Hodges, M.	South Carolina	Darlington County	82.75	outside_boundary_exact	NA	34.2780556,-78.7516667	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3044189
3032118	USCH	Perlmutter, Gary; Beeching, S.; Hodges, M.	South Carolina	Darlington County	82.75	outside_boundary_exact	NA	34.2780556,-78.7516667	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032118
