id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
3032045	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1492	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032045
3032061	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1490	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032061
3032090	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1477	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032090
3032114	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1485	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032114
3032118	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1480	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032118
3032119	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1487	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032119
3032121	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1496	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032121
3032122	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1483	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032122
3032124	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1478	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032124
3032132	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1482	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032132
3032156	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1486	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032156
3032171	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1476a	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032171
3032172	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1482a	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3032172
3044047	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1479	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3044047
3044089	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1497	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3044089
3044098	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1495	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3044098
3044125	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1481	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3044125
3044161	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1475	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3044161
3044162	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1491	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3044162
3044166	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1488	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3044166
3044177	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1484	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3044177
3044189	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1489	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3044189
3044226	USCH	NA	Perlmutter, Gary; Beeching, S.; Hodges, M.	1493	82.75	South Carolina	Darlington	34.2780556	-78.7516667	outside_boundary_exact	North Carolina, Columbus County	Oaklyn Plantation	https://lichenportal.org/portal/collections/individual/index.php?occid=3044226
3032020	USCH	NA	Harris, Richard	40155	56.65	South Carolina	Lancaster	34.6833333	-81.5166667	outside_boundary_exact	South Carolina, Union County	Forty Acre Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=3032020
3032049	USCH	NA	Harris, Richard	40162	56.65	South Carolina	Lancaster	34.6833333	-81.5166667	outside_boundary_exact	South Carolina, Union County	Forty Acre Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=3032049
3032073	USCH	NA	Harris, Richard	40147	56.65	South Carolina	Lancaster	34.6833333	-81.5166667	outside_boundary_exact	South Carolina, Union County	Forty Acre Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=3032073
3032091	USCH	NA	Harris, Richard	40189	56.65	South Carolina	Lancaster	34.6833333	-81.5166667	outside_boundary_exact	South Carolina, Union County	Forty Acre Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=3032091
3032103	USCH	NA	Harris, Richard	40170	56.65	South Carolina	Lancaster	34.6833333	-81.5166667	outside_boundary_exact	South Carolina, Union County	Forty Acre Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=3032103
3032104	USCH	NA	Harris, Richard	40158	56.65	South Carolina	Lancaster	34.6833333	-81.5166667	outside_boundary_exact	South Carolina, Union County	Forty Acre Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=3032104
3032112	USCH	NA	Harris, Richard	40186	56.65	South Carolina	Lancaster	34.6833333	-81.5166667	outside_boundary_exact	South Carolina, Union County	Forty Acre Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=3032112
3032125	USCH	NA	Buck, William	31608	56.65	South Carolina	Lancaster	34.6833333	-81.5166667	outside_boundary_exact	South Carolina, Union County	Forty Acre Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=3032125
3032153	USCH	NA	Harris, Richard	40175	56.65	South Carolina	Lancaster	34.6833333	-81.5166667	outside_boundary_exact	South Carolina, Union County	Forty Acre Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=3032153
3044110	USCH	NA	Harris, Richard	40192	56.65	South Carolina	Lancaster	34.6833333	-81.5166667	outside_boundary_exact	South Carolina, Union County	Forty Acre Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=3044110
3044112	USCH	NA	Harris, Richard	40180	56.65	South Carolina	Lancaster	34.6833333	-81.5166667	outside_boundary_exact	South Carolina, Union County	Forty Acre Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=3044112
3044212	USCH	NA	Harris, Richard	40182	56.65	South Carolina	Lancaster	34.6833333	-81.5166667	outside_boundary_exact	South Carolina, Union County	Forty Acre Rock	https://lichenportal.org/portal/collections/individual/index.php?occid=3044212
