id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
5824491	UWGB	UWGB.L.000033	Ellie Scott	33	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824491
5824492	UWGB	UWGB.L.000034	Ellie Scott	34	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824492
5824493	UWGB	UWGB.L.000035	Ellie Scott	35	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824493
5824494	UWGB	UWGB.L.000036	Ellie Scott	36.1	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824494
5824495	UWGB	UWGB.L.000037	Ellie Scott	36.2	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824495
5824496	UWGB	UWGB.L.000056	Ellie Scott	40	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824496
5824538	UWGB	UWGB.L.000038	Ellie Scott	37	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824538
5824539	UWGB	UWGB.L.000039	Ellie Scott	38.1	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824539
5824540	UWGB	UWGB.L.000041	Ellie Scott	38.3	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824540
5824541	UWGB	UWGB.L.000042	Ellie Scott	38.41	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824541
5824542	UWGB	UWGB.L.000043	Ellie Scott	38.42	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824542
5824543	UWGB	UWGB.L.000044	Ellie Scott	38.51	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824543
5824544	UWGB	UWGB.L.000045	Ellie Scott	38.52	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824544
5824545	UWGB	UWGB.L.000046	Ellie Scott	38.6	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824545
5824546	UWGB	UWGB.L.000047	Ellie Scott	38.7	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824546
5824547	UWGB	UWGB.L.000048	Ellie Scott	39.1	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824547
5824548	UWGB	UWGB.L.000049	Ellie Scott	39.2	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824548
5824549	UWGB	UWGB.L.000050	Ellie Scott	39.3	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824549
5824550	UWGB	UWGB.L.000051	Ellie Scott	39.4	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824550
5824551	UWGB	UWGB.L.000052	Ellie Scott	39.5	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824551
5824552	UWGB	UWGB.L.000053	Ellie Scott	39.6	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824552
5824553	UWGB	UWGB.L.000054	Ellie Scott	39.7	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824553
5824554	UWGB	UWGB.L.000055	Ellie Scott	39.8	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824554
5824595	UWGB	UWGB.L.000040	Ellie Scott	38.2	27.49	160.08	Wisconsin	Door	44.48429	-87.979	outside_boundary_exact	Wisconsin, Brown County	Toft Point State Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=5824595
