id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
5631288	VPI	VPI-L-0001024	T.F. Wieboldt	14633	12802.97	Virginia	Scott	36.82991	82.44975	outside_boundary_exact	not_found_in_US	Short distance above falls. Near Hwy 65 jct with Long Hollow Rd, 1.0 mi E of Dungannon	https://lichenportal.org/portal/collections/individual/index.php?occid=5631288
5631289	VPI	VPI-L-0001025	T.F. Wieboldt	14634	12802.97	Virginia	Scott	36.82991	82.44975	outside_boundary_exact	not_found_in_US	Short distance above falls. Near Hwy 65 jct with Long Hollow Rd, 1.0 mi E of Dungannon	https://lichenportal.org/portal/collections/individual/index.php?occid=5631289
5631290	VPI	VPI-L-0001026	T.F. Wieboldt	14777	12550.46	Virginia	Pulaski	37.00166	80.6796	outside_boundary_exact	not_found_in_US	beside Claytor Lake at Lowman's Ferry bridge, 1.3 mi NNE of Mack Creek Village	https://lichenportal.org/portal/collections/individual/index.php?occid=5631290
5995503	VPI	VPI-L-0001040	T.F. Wieboldt	13826	12481.89	Virginia	Giles	37.41528	80.50438	outside_boundary_exact	not_found_in_US	S-facing cove of Peters Mtn above Mann’s Bog, ca 4.1 mi NNE of Mountain Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=5995503
2956121	VPI	VPI-L-0000892	T. F. Wieboldt; J. F. Townsend	NA	90.94	Virginia	Patrick	37.66963	-80.43522	outside_boundary_exact	West Virginia, Monroe County	United States, Virginia, Patrick; Pinnacle of Dan, ca 0.4 mi S	https://lichenportal.org/portal/collections/individual/index.php?occid=2956121
3425787	VPI	VPI-L-0000997	T.F. Wieboldt	13726	84.41	Virginia	Pulaski	37.98954	-80.75189	outside_boundary_exact	West Virginia, Greenbrier County	New River Trail (abandoned RR) about 1.0 mi. SSW of Draper.	https://lichenportal.org/portal/collections/individual/index.php?occid=3425787
3410843	VPI	VPI-L-0000966	T. F. Wieboldt; J. F. Townsend; Paul G. Davison	NA	73.16	Virginia	Tazewell	37.08415	-80.4159	outside_boundary_exact	Virginia, Montgomery County	United States, Virginia, Tazewell; Beartown Mountain, 0.2 mi NNW of summit	https://lichenportal.org/portal/collections/individual/index.php?occid=3410843
2432221	VPI	VPI-L-0000597	St. Clair, Larry, L.; Shushan, Sam; Landgraf, Ken; St. Clair, Samuel, B.	NA	3.95	Virginia	Rockbridge	37.56083	-79.3914	outside_boundary_exact	Virginia, Bedford County	United States, Virginia, Rockbridge, Natural Bridge Station; 7.8 km SSE, 37.5608300000, -79.3914000000	https://lichenportal.org/portal/collections/individual/index.php?occid=2432221
2432280	VPI	VPI-L-0000558	St. Clair, Larry, L.; Shushan, Sam; Landgraf, Ken; St. Clair, Samuel, B.	NA	3.95	Virginia	Rockbridge	37.56083	-79.3914	outside_boundary_exact	Virginia, Bedford County	United States, Virginia, Rockbridge, Natural Bridge Station; 7.8 km SSE, 37.5608300000, -79.3914000000	https://lichenportal.org/portal/collections/individual/index.php?occid=2432280
2432317	VPI	VPI-L-0000562	St. Clair, Larry, L.; Shushan, Sam; St. Clair, Samuel, B.	NA	3.95	Virginia	Rockbridge	37.56083	-79.3914	outside_boundary_exact	Virginia, Bedford County	United States, Virginia, Rockbridge, Natural Bridge Station; 7.8 km SSE, 37.5608300000, -79.3914000000	https://lichenportal.org/portal/collections/individual/index.php?occid=2432317
