occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
5000000	WIN	Mariette S. Cole	North Carolina	Haywood	346.05	outside_boundary_exact	L_002008	35.73333333,-87.11666667	Tennessee, Maury County	The Great Smoky Mountains National Park. Big Creek.	https://lichenportal.org/portal/collections/individual/index.php?occid=5000000
5000065	WIN	Mariette S. Cole	North Carolina	Haywood	346.05	outside_boundary_exact	L_002073	35.73333333,-87.11666667	Tennessee, Maury County	The Great Smoky Mountains National Park. Big Creek.	https://lichenportal.org/portal/collections/individual/index.php?occid=5000065
5000084	WIN	Mariette S. Cole	North Carolina	Haywood	346.05	outside_boundary_exact	L_002092	35.73333333,-87.11666667	Tennessee, Maury County	The Great Smoky Mountains National Park. Big Creek.	https://lichenportal.org/portal/collections/individual/index.php?occid=5000084
5000242	WIN	Mariette S. Cole	North Carolina	Haywood	346.05	outside_boundary_exact	L_002249	35.73333333,-87.11666667	Tennessee, Maury County	The Great Smoky Mountains National Park. Big Creek.	https://lichenportal.org/portal/collections/individual/index.php?occid=5000242
5000258	WIN	Mariette S. Cole	North Carolina	Haywood	346.05	outside_boundary_exact	L_002266	35.73333333,-87.11666667	Tennessee, Maury County	The Great Smoky Mountains National Park. Big Creek.	https://lichenportal.org/portal/collections/individual/index.php?occid=5000258
5000311	WIN	Mariette S. Cole	North Carolina	Haywood	346.05	outside_boundary_exact	L_002322	35.73333333,-87.11666667	Tennessee, Maury County	The Great Smoky Mountains National Park. Big Creek.	https://lichenportal.org/portal/collections/individual/index.php?occid=5000311
5000336	WIN	Mariette S. Cole	North Carolina	Haywood	346.05	outside_boundary_exact	L_002354	35.73333333,-87.11666667	Tennessee, Maury County	The Great Smoky Mountains National Park. Big Creek.	https://lichenportal.org/portal/collections/individual/index.php?occid=5000336
5000440	WIN	Mariette S. Cole	North Carolina	Haywood	346.05	outside_boundary_exact	L_002466	35.73333333,-87.11666667	Tennessee, Maury County	The Great Smoky Mountains National Park. Big Creek.	https://lichenportal.org/portal/collections/individual/index.php?occid=5000440
5000619	WIN	Mariette S. Cole	North Carolina	Haywood	346.05	outside_boundary_exact	L_002658	35.73333333,-87.11666667	Tennessee, Maury County	The Great Smoky Mountains National Park. Big Creek.	https://lichenportal.org/portal/collections/individual/index.php?occid=5000619
5000704	WIN	Mariette S. Cole	North Carolina	Haywood	346.05	outside_boundary_exact	L_002756	35.73333333,-87.11666667	Tennessee, Maury County	The Great Smoky Mountains National Park. Big Creek.	https://lichenportal.org/portal/collections/individual/index.php?occid=5000704
