id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
2407693	WIS	WIS-L-0083163	N.L. Goodyear	41	301.47	Minnesota	Dakota	47.230151	-95.175915	outside_boundary_exact	Minnesota, Clearwater County	Professor Chaney Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=2407693
2410786	WIS	WIS-L-0084032	N.L. Goodyear	34	301.47	Minnesota	Dakota	47.230151	-95.175915	outside_boundary_exact	Minnesota, Clearwater County	Professor Chaney Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=2410786
2416895	WIS	WIS-L-0084125	N.L. Goodyear	103	301.47	Minnesota	Dakota	47.230151	-95.175915	outside_boundary_exact	Minnesota, Clearwater County	Professor Chaney Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=2416895
2411096	WIS	WIS-L-0083694	Clifford M. Wetmore	83018	238.22	Minnesota	Lake	44.66667	-91.41583	outside_boundary_exact	Wisconsin, Eau Claire County	Superior National Forest. 1.8 miles [2.8 km] east of Inga Creek on Tomahawk Road (23 miles [37 km] southeast of Ely)	https://lichenportal.org/portal/collections/individual/index.php?occid=2411096
2419212	WIS	WIS-L-0085494	C.M. Wetmore	31506	208.55	Minnesota	St. Louis	48.45	-95.8833333	outside_boundary_standardized_exact	Minnesota, Marshall County	Voyageurs National Park, Round Bear Island, in eastern Kabetogama Lake at western end	https://lichenportal.org/portal/collections/individual/index.php?occid=2419212
1089116	WIS	WIS-L-0039317	J. W. Thomson	13071	148.2	Minnesota	Cook	48	-93	outside_boundary_exact	Minnesota, St. Louis County	Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1089116
1089120	WIS	WIS-L-0039321	John W. Thomson	13093	148.2	Minnesota	Cook	48	-93	outside_boundary_exact	Minnesota, St. Louis County	Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1089120
1098266	WIS	WIS-L-0042432	John W. Thomson	13099	148.2	Minnesota	Cook	48	-93	outside_boundary_exact	Minnesota, St. Louis County	Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1098266
1098792	WIS	WIS-L-0042969	[collector unspecified]	13077	148.2	Minnesota	Cook	48	-93	outside_boundary_exact	Minnesota, St. Louis County	on Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1098792
1123900	WIS	WIS-L-0049544	John W. Thomson	13041	148.2	Minnesota	Cook	48	-93	outside_boundary_exact	Minnesota, St. Louis County	shore of Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1123900
1124245	WIS	WIS-L-0049889	John W. Thomson	13089	148.2	Minnesota	Cook	48	-93	outside_boundary_exact	Minnesota, St. Louis County	Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1124245
1124576	WIS	WIS-L-0050364	John W. Thomson	13040	148.2	Minnesota	Cook	48	-93	outside_boundary_exact	Minnesota, St. Louis County	Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1124576
1124577	WIS	WIS-L-0050365	John W. Thomson	13067	148.2	Minnesota	Cook	48	-93	outside_boundary_exact	Minnesota, St. Louis County	on Horseshoe Island. Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1124577
1130949	WIS	WIS-L-0052533	John W. Thomson	13063	148.2	Minnesota	Cook	48	-93	outside_boundary_exact	Minnesota, St. Louis County	on Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1130949
1132030	WIS	WIS-L-0052950	John W. Thomson	13078	148.2	Minnesota	Cook	48	-93	outside_boundary_exact	Minnesota, St. Louis County	Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1132030
1202265	WIS	WIS-L-0053526	John W. Thomson	13079	148.2	Minnesota	Cook	48	-93	outside_boundary_exact	Minnesota, St. Louis County	Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1202265
1213594	WIS	WIS-L-0058256	John W. Thomson	13091	148.2	Minnesota	Cook	48	-93	outside_boundary_exact	Minnesota, St. Louis County	on Horseshoe Island Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1213594
1322320	WIS	WIS-L-0076388	John W. Thomson	13092	148.2	Minnesota	Cook	48	-93	outside_boundary_exact	Minnesota, St. Louis County	Horseshoe Island, Lake Saganaga	https://lichenportal.org/portal/collections/individual/index.php?occid=1322320
