occurrenceID	institutionCode	recordedBy	stateProvince	county	distance_km	status	catalogNumber	coordinates	implied_location	locality	record_link
1070069	WIS	J.L. Lowe	Michigan	Oakland	543.63	outside_boundary_exact	WIS-L-0036137	46.839089,-87.709574	Michigan, Marquette County	near Bald Mt., Big Bay	https://lichenportal.org/portal/collections/individual/index.php?occid=1070069
1310370	WIS	John W. Thomson	Michigan	Kent	491.61	outside_boundary_exact	WIS-L-0073642	47.46773,-87.866556	Michigan, Keweenaw County	Keweenaw Peninsula, north of Fort Wilkins	https://lichenportal.org/portal/collections/individual/index.php?occid=1310370
1282847	WIS	John W. Thomson	Michigan	Kent	480.82	outside_boundary_exact	WIS-L-0066592	47.401571,-87.711781	Michigan, Keweenaw County	Keweenaw Point, south of Copper Harbor	https://lichenportal.org/portal/collections/individual/index.php?occid=1282847
1127781	WIS	S. J. Mazeer	Michigan	Baraga	472.34	outside_boundary_exact	WIS-L-0051750	42.612812,-85.491125	Michigan, Barry County	Yankee Springs Recreation Area	https://lichenportal.org/portal/collections/individual/index.php?occid=1127781
1214956	WIS	John W. Thomson	Michigan	Newaygo	426.08	outside_boundary_exact	WIS-L-0060012	47.391577,-88.013163	Michigan, Keweenaw County	side of Mt. Bohemia	https://lichenportal.org/portal/collections/individual/index.php?occid=1214956
1379667	WIS	John W. Thomson	Michigan	Newaygo	426.08	outside_boundary_exact	WIS-L-0100471	47.391577,-88.013163	Michigan, Keweenaw County	Mt. Bohemia	https://lichenportal.org/portal/collections/individual/index.php?occid=1379667
1240657	WIS	Henry A. Imshaug	Michigan	Ontonagon	345.39	outside_boundary_exact	WIS-L-0063681	45.551582,-84.684393	Michigan, Cheboygan County	The Gorge, University Biological Station	https://lichenportal.org/portal/collections/individual/index.php?occid=1240657
2407972	WIS	H. A. Sierk	Michigan	Alger	305.59	outside_boundary_exact	WIS-L-0083161	44.410549,-83.332843	Michigan, Iosco County	Au Sable, Lake Superior	https://lichenportal.org/portal/collections/individual/index.php?occid=2407972
2410997	WIS	H. A. Sierk	Michigan	Alger	305.59	outside_boundary_exact	WIS-L-0083595	44.410849,-83.33219	Michigan, Iosco County	Near Au Sable	https://lichenportal.org/portal/collections/individual/index.php?occid=2410997
2411058	WIS	H. A. Sierk	Michigan	Alger	305.59	outside_boundary_exact	WIS-L-0083656	44.410849,-83.33219	Michigan, Iosco County	Near Au Sable- Lake Superior	https://lichenportal.org/portal/collections/individual/index.php?occid=2411058
