id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1059610	WIS	WIS-L-0031155	Ray C. Friesner	8479	299.68	Tennessee	Robertson	35.726036	-83.400614	outside_boundary_exact	Tennessee, Sevier County	in Little Pigeon River near north end of Porter Mountain, Greenbrier	https://lichenportal.org/portal/collections/individual/index.php?occid=1059610
2410578	WIS	WIS-L-0083905	H.N. Mozingo	s.n.	291.27	Tennessee	Montgomery	35.843603	-83.945218	outside_boundary_exact	Tennessee, Blount County	Third bridge, Little River	https://lichenportal.org/portal/collections/individual/index.php?occid=2410578
1089235	WIS	WIS-L-0039436	L.H. Prescott	19	207.52	Tennessee	Hamblen	35.04563	-85.30968	outside_boundary_exact	Tennessee, Hamilton County	Chattanooga	https://lichenportal.org/portal/collections/individual/index.php?occid=1089235
1468522	WIS	WIS-L-0113234	John E. Seybert	s.n.	195.71	Tennessee	Sevier	35.176681	-85.78969	outside_boundary_exact	Tennessee, Marion County	Cave Cove Road	https://lichenportal.org/portal/collections/individual/index.php?occid=1468522
2416991	WIS	WIS-L-0084247	A. J. Sharp	s.n.	92.16	Tennessee	Knox	35.236971	-84.913032	outside_boundary_exact	Tennessee, Bradley County	near Hopwell	https://lichenportal.org/portal/collections/individual/index.php?occid=2416991
1048184	WIS	WIS-L-0027592	Lou Pouch	10	27.33	Tennessee	Rhea	35.673295	-85.384329	outside_boundary_exact	Tennessee, Van Buren County	between upper and lower falls, Little Piney Creek Gorge, Cumberland Plateau	https://lichenportal.org/portal/collections/individual/index.php?occid=1048184
1053706	WIS	WIS-L-0028001	Lou Rouch	8	27.33	Tennessee	Rhea	35.673295	-85.384329	outside_boundary_exact	Tennessee, Van Buren County	Between unper and lower falls, Little Piney Creek Gorge, Cumberland Plateau	https://lichenportal.org/portal/collections/individual/index.php?occid=1053706
1059612	WIS	WIS-L-0031157	Lou Rouch	15	27.33	Tennessee	Rhea	35.673295	-85.384329	outside_boundary_exact	Tennessee, Van Buren County	Between upper and lower falls, Little Piney Creek Gorge, Cumberland Plateau	https://lichenportal.org/portal/collections/individual/index.php?occid=1059612
1063423	WIS	WIS-L-0032728	Lou Rouch	9	27.33	Tennessee	Rhea	35.673295	-85.384329	outside_boundary_exact	Tennessee, Van Buren County	between upper and lower fall, Little Piney Creek Gorge, Cumberland Plateau	https://lichenportal.org/portal/collections/individual/index.php?occid=1063423
1067493	WIS	WIS-L-0033561	Lou Rouch	14	27.33	Tennessee	Rhea	35.673295	-85.384329	outside_boundary_exact	Tennessee, Van Buren County	Between unper and lower falls, Little Piney Creek Gorge, Cumberland Plateau, Rhea County, Tenn.	https://lichenportal.org/portal/collections/individual/index.php?occid=1067493
1068414	WIS	WIS-L-0034482	Lou Rouch	13	27.33	Tennessee	Rhea	35.673295	-85.384329	outside_boundary_exact	Tennessee, Van Buren County	Between upper and lower falls, Little Piney Gorge, Cumberland Plateau	https://lichenportal.org/portal/collections/individual/index.php?occid=1068414
1048183	WIS	WIS-L-0027591	Lou Rouch	2	27.24	Tennessee	Rhea	35.672249	-85.3839	outside_boundary_exact	Tennessee, Van Buren County	Cumberland Plateau, Little Piney Gorge, along lower entrance road	https://lichenportal.org/portal/collections/individual/index.php?occid=1048183
1048185	WIS	WIS-L-0027593	Lou Rouch	1	27.24	Tennessee	Rhea	35.672249	-85.3839	outside_boundary_exact	Tennessee, Van Buren County	Lower entrance road, Little Piney Gorge, Cumberland Plateau	https://lichenportal.org/portal/collections/individual/index.php?occid=1048185
1056759	WIS	WIS-L-0029707	L. Rouch	3	27.24	Tennessee	Rhea	35.672249	-85.3839	outside_boundary_exact	Tennessee, Van Buren County	Lower entrance road, Little Piney Gorge, Cumberland Plateau	https://lichenportal.org/portal/collections/individual/index.php?occid=1056759
1067266	WIS	WIS-L-0033334	Lou Rouch	11	27.2	Tennessee	Rhea	35.678873	-85.37948	outside_boundary_exact	Tennessee, Van Buren County	Little Piney Creek Gorge Area, Cumberland Plateau	https://lichenportal.org/portal/collections/individual/index.php?occid=1067266
1208193	WIS	WIS-L-0055783	Lou Rouch	12	27.2	Tennessee	Rhea	35.678873	-85.37948	outside_boundary_exact	Tennessee, Van Buren County	Little Piney Creek Gorge Area, Cumberland Plateau	https://lichenportal.org/portal/collections/individual/index.php?occid=1208193
1239837	WIS	WIS-L-0062862	Lou Rouch	NA	27.2	Tennessee	Rhea	35.678873	-85.37948	outside_boundary_exact	Tennessee, Van Buren County	Cumberland Plateau top, Little Pincey Creek Gorge area	https://lichenportal.org/portal/collections/individual/index.php?occid=1239837
1318838	WIS	WIS-L-0074869	Lou Rouch	17	27.2	Tennessee	Rhea	35.678873	-85.37948	outside_boundary_exact	Tennessee, Van Buren County	Little Piney Creek Gorge Area, Cumberland Plateau	https://lichenportal.org/portal/collections/individual/index.php?occid=1318838
1324937	WIS	WIS-L-0077974	Lou Rouch	16a	27.2	Tennessee	Rhea	35.678873	-85.37948	outside_boundary_exact	Tennessee, Van Buren County	Little Piney Creek Gorge Area, Cumberland Plateau	https://lichenportal.org/portal/collections/individual/index.php?occid=1324937
1324463	WIS	WIS-L-0077500	Lou Rouch	s.n.	27.15	Tennessee	Rhea	35.663324	-85.387505	outside_boundary_exact	Tennessee, Van Buren County	Lower Piney Creek, Cumberland Plateau	https://lichenportal.org/portal/collections/individual/index.php?occid=1324463
2416718	WIS	WIS-L-0084471	L. Temples	960	22.6	Tennessee	Rhea	35.215272	-85.087033	outside_boundary_exact	Tennessee, Hamilton County	beside Lake Chickamauga	https://lichenportal.org/portal/collections/individual/index.php?occid=2416718
2416719	WIS	WIS-L-0084472	H.A. Sierk	s.n.	22.6	Tennessee	Rhea	35.215272	-85.087033	outside_boundary_exact	Tennessee, Hamilton County	hillside beside Lake Chickamauga	https://lichenportal.org/portal/collections/individual/index.php?occid=2416719
2416723	WIS	WIS-L-0084478	H.A. Sierk	955	22.6	Tennessee	Rhea	35.215272	-85.087033	outside_boundary_exact	Tennessee, Hamilton County	Hillside beside Lake Chickamauga	https://lichenportal.org/portal/collections/individual/index.php?occid=2416723
2417010	WIS	WIS-L-0084271	H.A. Sierk	718	19.13	Tennessee	Blount	35.629774	-83.449703	outside_boundary_exact	Tennessee, Sevier County	above Alum Cave parking lot, Great Smoky Mountains National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=2417010
2416877	WIS	WIS-L-0084246	H. N. Mozingo	s.n.	18.76	Tennessee	Sequatchie	35.114883	-85.59202	outside_boundary_exact	Tennessee, Marion County	Rt. 30, 4 mi. south of junct. with 113 and 128	https://lichenportal.org/portal/collections/individual/index.php?occid=2416877
1130688	WIS	WIS-L-0052272	R. Thaxter	s.n.	18.43	Tennessee	Johnson	36.14873	-82.10179	outside_boundary_exact	Tennessee, Carter County	Burbank	https://lichenportal.org/portal/collections/individual/index.php?occid=1130688
1041279	WIS	WIS-L-0025112	D.H. Norris	64-180	17.99	Tennessee	Sevier	35.6005	-83.863462	outside_boundary_exact	Tennessee, Blount County	Great Smoky Mountains National Park, 1 miles from parking lot on Abrams Falls Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=1041279
1055713	WIS	WIS-L-0028916	D.H. Norris	64-181	17.99	Tennessee	Sevier	35.6005	-83.863462	outside_boundary_exact	Tennessee, Blount County	Great Smoky Mountains National Park, 1 miles from parking lot on Abrams Falls Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=1055713
1207336	WIS	WIS-L-0055312	D. H. Norris	64-183	17.99	Tennessee	Sevier	35.6005	-83.863462	outside_boundary_exact	Tennessee, Blount County	Abrams Falls Trail ca. 1 mile from parking lot, GSMNP	https://lichenportal.org/portal/collections/individual/index.php?occid=1207336
2416732	WIS	WIS-L-0084492	H. A. Sierk	896	16.76	Tennessee	Blount	35.711621	-83.477745	outside_boundary_exact	Tennessee, Sevier County	gorge of Little River above Roaring Fork	https://lichenportal.org/portal/collections/individual/index.php?occid=2416732
