id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1288460	WIS	WIS-L-0068426	C.L. Pollard	179	177.21	242.22	Alabama	Marion	33.191505	-85.925798	outside_boundary_exact	Alabama, Clay County	Millersville	https://lichenportal.org/portal/collections/individual/index.php?occid=1288460
1367037	WIS	WIS-L-0093631	Charles C. Pollard	198	177.21	242.22	Alabama	Marion	33.191505	-85.925798	outside_boundary_exact	Alabama, Clay County	Millersville	https://lichenportal.org/portal/collections/individual/index.php?occid=1367037
1232420	WIS	WIS-L-0062359	M. Nee	1690	129.75	183.19	Alabama	Hale	33.277648	-86.06186	outside_boundary_exact	Alabama, Clay County	Talladega Nat. Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1232420
1385359	WIS	WIS-L-0101478	M. Nee	1690	129.75	183.19	Alabama	Hale	33.277648	-86.06186	outside_boundary_exact	Alabama, Clay County	Talladega Nat. Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1385359
1366756	WIS	WIS-L-0093350	John W. Thomson	5156	86.17	150.98	Alabama	Montgomery	33.105182	-86.871739	outside_boundary_exact	Alabama, Shelby County	on grounds of Alabama State College, Montevallo	https://lichenportal.org/portal/collections/individual/index.php?occid=1366756
1208138	WIS	WIS-L-0055728	F. S. Earle	140	20.87	77.93	Alabama	Tallapoosa	32.549422	-85.479327	outside_boundary_exact	Alabama, Lee County	Tallapoosa region; Wrights Mill	https://lichenportal.org/portal/collections/individual/index.php?occid=1208138
1062918	WIS	WIS-L-0032224	T.S. Cochrane	5486	13.81	71.12	Alabama	Lawrence	34.175763	-87.276979	outside_boundary_exact	Alabama, Winston County	southeast Lawrence, extreme south end of Cumberland Plateau at natural bridge, east of Pool, Bankhead National Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1062918
1239877	WIS	WIS-L-0062902	T.S. Cochrane	5496	13.81	71.12	Alabama	Lawrence	34.175763	-87.276979	outside_boundary_exact	Alabama, Winston County	Extreme S end of Cumberland Plateau at NATURAL BRIDGE, just E of PooI in Bankhead. National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1239877
1360697	WIS	WIS-L-0091575	T.S. Cochrane	5494	13.81	71.12	Alabama	Lawrence	34.175763	-87.276979	outside_boundary_exact	Alabama, Winston County	Extreme S end of Cumberland Plateau at NATURAL BRIDGE, just E of PooI in Bankhead. National Forest, just E of Pool	https://lichenportal.org/portal/collections/individual/index.php?occid=1360697
1370891	WIS	WIS-L-0095498	T.S. Cochrane	5495	13.81	71.12	Alabama	Lawrence	34.175763	-87.276979	outside_boundary_exact	Alabama, Winston County	Extreme S end of Cumberland Plateau at NATURAL BRIDGE, just E of PooI in Bankhead. National Forest, just E of Pool	https://lichenportal.org/portal/collections/individual/index.php?occid=1370891
1053626	WIS	WIS-L-0027920	D. Ugent	1509	7.03	63.58	Alabama	Lawrence	34.237222	-87.334444	outside_boundary_exact	Alabama, Winston County	Bankhead National Forest, Black Warrior Woods.	https://lichenportal.org/portal/collections/individual/index.php?occid=1053626
1058076	WIS	WIS-L-0031001	Donald Ugent	1510	7.03	63.58	Alabama	Lawrence	34.237222	-87.334444	outside_boundary_exact	Alabama, Winston County	Bankhead Natiional Forest, Black Warrior Woods	https://lichenportal.org/portal/collections/individual/index.php?occid=1058076
1071243	WIS	WIS-L-0037183	D. Ugent	1506	7.03	63.58	Alabama	Lawrence	34.237222	-87.334444	outside_boundary_exact	Alabama, Winston County	Bankhead National Forest, Black Warrior Woods.	https://lichenportal.org/portal/collections/individual/index.php?occid=1071243
1099923	WIS	WIS-L-0044084	Donald Ugent	1501	7.03	63.58	Alabama	Lawrence	34.237222	-87.334444	outside_boundary_exact	Alabama, Winston County	Bankhead National Forest, Black Warrior Woods	https://lichenportal.org/portal/collections/individual/index.php?occid=1099923
1366754	WIS	WIS-L-0093348	D. Ugent	1505	7.03	63.58	Alabama	Lawrence	34.237222	-87.334444	outside_boundary_exact	Alabama, Winston County	Bankhead National Forest, Black Warrier Woods	https://lichenportal.org/portal/collections/individual/index.php?occid=1366754
1208253	WIS	WIS-L-0055843	Hugh H. Iltis	25071	2.08	49.67	Alabama	Winston	34.322439	-87.475481	outside_boundary_exact	Alabama, Lawrence County	SIPSEY SPRINGS recreational area on Sipsey River, ca. 14 mi. ENE of HALEYVILLE, Bankhead National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1208253
1230797	WIS	WIS-L-0061148	Hugh H. Iltis	25067	2.08	49.67	Alabama	Winston	34.322439	-87.475481	outside_boundary_exact	Alabama, Lawrence County	SIPSEY SPRINGS recreational area on Sipsey River, ca. 14 mi. ENE of HALEYVILLE, Bankhead National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1230797
1325144	WIS	WIS-L-0078175	Hugh H. Iltis	25072	2.08	49.67	Alabama	Winston	34.322439	-87.475481	outside_boundary_exact	Alabama, Lawrence County	SIPSEY SPRINGS recreational area on Sipsey River, ca. 14 mi. ENE of HALEYVILLE, Bankhead National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1325144
1377973	WIS	WIS-L-0099843	Hugh H. Iltis	25070	2.08	49.67	Alabama	Winston	34.322439	-87.475481	outside_boundary_exact	Alabama, Lawrence County	SIPSEY SPRINGS recreational area on Sipsey River, ca. 14 mi. ENE of HALEYVILLE, Bankhead National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=1377973
