id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
969985	WIS	WIS-L-0011163	T.H. Nash III	3745	302.08	647.91	Arizona	Coconino	31.8833333	-109.2	outside_boundary_exact	Arizona, Cochise County	Chiricahua Mountains, adjacent Southwest Research Station	https://lichenportal.org/portal/collections/individual/index.php?occid=969985
1006517	WIS	WIS-L-0010891	B.D. Ryan	16034	199.63	368.45	Arizona	Yuma	35.25	-114.25	outside_boundary_exact	Arizona, Mohave County	Dirt road to Horse Tanks, Kofa Wildlife Refuge, E of Hwy. 95.	https://lichenportal.org/portal/collections/individual/index.php?occid=1006517
1287599	WIS	WIS-L-0067759	T.H. Nash	32000	160.79	304.29	Arizona	Cochise	33.866667	-109.25	outside_boundary_exact	Arizona, Apache County	Chiricahua Mountains, Coronado National Forest, between Herb Martyr Dam and  Winn Falls.	https://lichenportal.org/portal/collections/individual/index.php?occid=1287599
1016543	WIS	WIS-L-0015802	J. Marsh	60	140.22	397.65	Arizona	Coconino	36.790278	-109.164546	outside_boundary_exact	Arizona, Apache County	G 2 Pastora Peak, Carrizo Moutains	https://lichenportal.org/portal/collections/individual/index.php?occid=1016543
1278782	WIS	WIS-L-0065610	Robert Darrow	1413	102.83	234.51	Arizona	Pima	33.428067	-111.935891	outside_boundary_exact	Arizona, Maricopa County	alt. A Mt., in Tucson Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=1278782
1385434	WIS	WIS-L-0101553	W.P. Cottam	13684	73.04	382.73	Arizona	Coconino	36.529762	-113.933804	outside_boundary_exact	Arizona, Mohave County	Grand Canyon National Monument, NW corner	https://lichenportal.org/portal/collections/individual/index.php?occid=1385434
969991	WIS	WIS-L-0011167	T.H. Nash III	6210	63.96	214.21	Arizona	Yuma	33.95	-113.55	outside_boundary_exact	Arizona, La Paz County	Cunningham Pass, Harcuvar Mountains, 16 km N of Wenden	https://lichenportal.org/portal/collections/individual/index.php?occid=969991
970077	WIS	WIS-L-0013961	T.H. Nash III	6225	63.96	214.21	Arizona	Yuma	33.95	-113.55	outside_boundary_exact	Arizona, La Paz County	Cunningham Pass, Harcuvar Mountains, 16 km N of Wenden	https://lichenportal.org/portal/collections/individual/index.php?occid=970077
1373151	WIS	WIS-L-0096470	John W. Thomson	18285	40.35	162.28	Arizona	Gila	33.397432	-111.604776	outside_boundary_exact	Arizona, Maricopa County	14 mi SW of Canyon Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=1373151
1071814	WIS	WIS-L-0037754	H. A. Sierk	2309	35.66	325.18	Arizona	Navajo	36.461774	-109.599121	outside_boundary_exact	Arizona, Apache County	Bita Hoches	https://lichenportal.org/portal/collections/individual/index.php?occid=1071814
