id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1063156	WIS	WIS-L-0032461	F. Wiley	18	184.1	292.53	Nebraska	Lincoln	42.932775	-102.069875	outside_boundary_exact	Nebraska, Cherry County	Hog Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1063156
970121	WIS	WIS-L-0010793	T.H. Nash III	43922	177.07	288.4	Nebraska	Lincoln	41.883186	-103.306556	outside_boundary_exact	Nebraska, Morrill County	Wildhorse Resevoir	https://lichenportal.org/portal/collections/individual/index.php?occid=970121
1006615	WIS	WIS-L-0011313	T.H. Nash III	43918	177.07	288.4	Nebraska	Lincoln	41.883186	-103.306556	outside_boundary_exact	Nebraska, Morrill County	Wildhorse Resevoir N. of Elko	https://lichenportal.org/portal/collections/individual/index.php?occid=1006615
1009257	WIS	WIS-L-0015609	T.H. Nash III	43923	177.07	288.4	Nebraska	Lincoln	41.883186	-103.306556	outside_boundary_exact	Nebraska, Morrill County	Wildhorse Revoir	https://lichenportal.org/portal/collections/individual/index.php?occid=1009257
1385516	WIS	WIS-L-0101635	W. Kiener	16574	150.5	199.33	Nebraska	Hayes	40.465392	-98.990906	outside_boundary_exact	Nebraska, Kearney County	Camp Duke Alexis	https://lichenportal.org/portal/collections/individual/index.php?occid=1385516
1324282	WIS	WIS-L-0077319	W. Kiener	7428	84.63	134.07	Nebraska	Chase	41.45443	-101.963792	outside_boundary_exact	Nebraska, Arthur County	Williams Ranch, Englers	https://lichenportal.org/portal/collections/individual/index.php?occid=1324282
1206724	WIS	WIS-L-0054612	H.J. Webber	2972	76.92	165.23	Nebraska	Sioux	42.996652	-102.556551	outside_boundary_exact	Nebraska, Sheridan County	Pine Ridge	https://lichenportal.org/portal/collections/individual/index.php?occid=1206724
1362978	WIS	WIS-L-0092801	H.J. Webber	2971	76.92	165.23	Nebraska	Sioux	42.996652	-102.556551	outside_boundary_exact	Nebraska, Sheridan County	Pine Ridge	https://lichenportal.org/portal/collections/individual/index.php?occid=1362978
1123012	WIS	WIS-L-0048683	W. Kiener	28112	5.53	92.45	Nebraska	Sioux	42.683024	-103.412701	outside_boundary_exact	Nebraska, Dawes County	NW of Crawford	https://lichenportal.org/portal/collections/individual/index.php?occid=1123012
1123016	WIS	WIS-L-0048687	W. Kiener	28108	5.53	92.45	Nebraska	Sioux	42.683024	-103.412701	outside_boundary_exact	Nebraska, Dawes County	NW of Crawford	https://lichenportal.org/portal/collections/individual/index.php?occid=1123016
1324280	WIS	WIS-L-0077317	W. Kiener	28109	5.53	92.45	Nebraska	Sioux	42.683024	-103.412701	outside_boundary_exact	Nebraska, Dawes County	N.W. of Crawford	https://lichenportal.org/portal/collections/individual/index.php?occid=1324280
1017943	WIS	WIS-L-0020729	G. J. Shroeder	L462	1.64	79.05	Nebraska	Knox	42.865	-97.5333	outside_boundary_exact	South Dakota, Yankton County	3 of Lewis & Clark Lake of Missouri River | Gavin's Point Dam Area| 9 miles N of Crofton	https://lichenportal.org/portal/collections/individual/index.php?occid=1017943
1018111	WIS	WIS-L-0020775	Schroeder, Gary J	L463	0.72	81.81	Nebraska	Knox	42.856671	-97.483201	outside_boundary_exact	South Dakota, Yankton County	in open picnic area, S of Lewis & Clark Lake of Missouri River, Gavin's Point Dam Area, 9 miles N of Crofton	https://lichenportal.org/portal/collections/individual/index.php?occid=1018111
1056569	WIS	WIS-L-0029517	G.J. Shroeder	L474	0.53	81.58	Nebraska	Knox	42.847984	-97.478459	outside_boundary_exact	Nebraska, Cedar County	S. of Lewis & Clark Lake of Missouri River, Gavin's Point Dam Area, 9 miles N of Crofton	https://lichenportal.org/portal/collections/individual/index.php?occid=1056569
1376693	WIS	WIS-L-0098642	Rudy G. Koch	4494	0.28	45.09	Nebraska	Seward	40.906794	-96.907177	outside_boundary_exact	Nebraska, Lancaster County	10 miles E of Seward	https://lichenportal.org/portal/collections/individual/index.php?occid=1376693
1324284	WIS	WIS-L-0077321	W. Kiener	6689	NA	NA	Nebraska	Chaffee	42.14662	-97.194183	county_not_matched_no_match	county_not_matched	Hancock	https://lichenportal.org/portal/collections/individual/index.php?occid=1324284
