id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1053688	WIS	WIS-L-0027983	Collector unspecified	s.n.	451.21	New Jersey	Alantic	42.674007	-70.938003	outside_boundary_similarity_0.625	Massachusetts, Essex County	Elihi's Brook	https://lichenportal.org/portal/collections/individual/index.php?occid=1053688
1070917	WIS	WIS-L-0036857	Collector unspecified	s.n.	451.21	New Jersey	Atlantic	42.674007	-70.938003	outside_boundary_exact	Massachusetts, Essex County	Elihu's Brook	https://lichenportal.org/portal/collections/individual/index.php?occid=1070917
1071113	WIS	WIS-L-0037054	Raymond H. Torrey	s.n.	451.21	New Jersey	Atlantic	42.674007	-70.938003	outside_boundary_exact	Massachusetts, Essex County	Elihu's Brook	https://lichenportal.org/portal/collections/individual/index.php?occid=1071113
1048177	WIS	WIS-L-0027585	Collector unspecified	s.n.	23.28	New Jersey	Cumberland	39.762442	-74.962827	outside_boundary_exact	New Jersey, Camden County	Sharps Branch of Tuckahoe River	https://lichenportal.org/portal/collections/individual/index.php?occid=1048177
3429978	WIS	WIS-L-0150205	Amy Mallett	s.n.	8.34	New Jersey	Atlantic	39.6875	-74.5625	outside_boundary_exact	New Jersey, Burlington County	Hex Plot Number: 3907465	https://lichenportal.org/portal/collections/individual/index.php?occid=3429978
1048246	WIS	WIS-L-0027679	John W. Thomson	669	4.8	New Jersey	Sussex	41.154095	-74.350701	outside_boundary_exact	New Jersey, Passaic County	Hewitt	https://lichenportal.org/portal/collections/individual/index.php?occid=1048246
1367935	WIS	WIS-L-0093769	John W. Thomson,	s.n.	4.8	New Jersey	Sussex	41.154095	-74.350701	outside_boundary_exact	New Jersey, Passaic County	Hewitt	https://lichenportal.org/portal/collections/individual/index.php?occid=1367935
1388619	WIS	WIS-L-0102357	Collector unspecified	s.n.	4.8	New Jersey	Sussex	41.154095	-74.350701	outside_boundary_exact	New Jersey, Passaic County	Hewitt	https://lichenportal.org/portal/collections/individual/index.php?occid=1388619
1059560	WIS	WIS-L-0031105	J.W. Thomson	s.n.	4.66	New Jersey	Ocean	40.152892	-74.181531	outside_boundary_exact	New Jersey, Monmouth County	Maxim	https://lichenportal.org/portal/collections/individual/index.php?occid=1059560
1067495	WIS	WIS-L-0033563	J.W. Thomson	s.n.	4.66	New Jersey	Ocean	40.152892	-74.181531	outside_boundary_exact	New Jersey, Monmouth County	Maxim	https://lichenportal.org/portal/collections/individual/index.php?occid=1067495
1069937	WIS	WIS-L-0036005	Collector unspecified	s.n.	4.66	New Jersey	Ocean	40.152892	-74.181531	outside_boundary_exact	New Jersey, Monmouth County	Maxim	https://lichenportal.org/portal/collections/individual/index.php?occid=1069937
1101406	WIS	WIS-L-0045920	J.W. Thomson	1442	3.56	New Jersey	Sussex	41.13978	-74.389656	outside_boundary_exact	New Jersey, Passaic County	Bearfort Mt.	https://lichenportal.org/portal/collections/individual/index.php?occid=1101406
1130953	WIS	WIS-L-0052537	Collector unspecified	s.n.	3.56	New Jersey	Sussex	41.13978	-74.389656	outside_boundary_exact	New Jersey, Passaic County	Bearfort Mt.	https://lichenportal.org/portal/collections/individual/index.php?occid=1130953
1070104	WIS	WIS-L-0036172	John W. Thomson	1668	2.75	New Jersey	Union	40.716768	-74.452931	outside_boundary_exact	New Jersey, Morris County	Great Swamp, near Plainsfield	https://lichenportal.org/portal/collections/individual/index.php?occid=1070104
1071116	WIS	WIS-L-0037057	Collector unspecified	s.n.	1.89	New Jersey	Atlantic	39.597896	-74.526542	outside_boundary_exact	New Jersey, Burlington County	Green Bank State Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=1071116
1070482	WIS	WIS-L-0036438	John W. Thomson	1200	1.76	New Jersey	Monmouth	40.43489	-74.268077	outside_boundary_exact	New Jersey, Middlesex County	Cheesequake Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1070482
1056661	WIS	WIS-L-0029609	Collector unspecified	s.n.	1.66	New Jersey	Monmouth	40.437052	-74.265979	outside_boundary_exact	New Jersey, Middlesex County	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1056661
1057817	WIS	WIS-L-0030742	J.W. Thomson	s.n.	1.66	New Jersey	Monmouth	40.437052	-74.265979	outside_boundary_exact	New Jersey, Middlesex County	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1057817
1059554	WIS	WIS-L-0031099	John W. Thomson	s.n.	1.66	New Jersey	Monmouth	40.437052	-74.265979	outside_boundary_exact	New Jersey, Middlesex County	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1059554
1059563	WIS	WIS-L-0031108	J.W. Thomson	s.n.	1.66	New Jersey	Monmouth	40.437052	-74.265979	outside_boundary_exact	New Jersey, Middlesex County	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1059563
1067253	WIS	WIS-L-0033321	John W. Thomson	s.n.	1.66	New Jersey	Monmouth	40.437052	-74.265979	outside_boundary_exact	New Jersey, Middlesex County	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1067253
1068360	WIS	WIS-L-0034428	John W. Thomson	s.n.	1.66	New Jersey	Monmouth	40.437052	-74.265979	outside_boundary_exact	New Jersey, Middlesex County	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1068360
1070624	WIS	WIS-L-0036582	John W. Thomson	s.n.	1.66	New Jersey	Monmouth	40.437052	-74.265979	outside_boundary_exact	New Jersey, Middlesex County	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1070624
1070918	WIS	WIS-L-0036858	J.W. Thomson	s.n.	1.66	New Jersey	Monmouth	40.437052	-74.265979	outside_boundary_exact	New Jersey, Middlesex County	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1070918
1071299	WIS	WIS-L-0037239	J.W. Thomson	s.n.	1.66	New Jersey	Monmouth	40.437052	-74.265979	outside_boundary_exact	New Jersey, Middlesex County	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1071299
1071302	WIS	WIS-L-0037242	J.W. Thomson	s.n.	1.66	New Jersey	Monmouth	40.437052	-74.265979	outside_boundary_exact	New Jersey, Middlesex County	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1071302
1360714	WIS	WIS-L-0091592	Collector unspecified	s.n.	1.66	New Jersey	Monmouth	40.437052	-74.265979	outside_boundary_exact	New Jersey, Middlesex County	Cheesequake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1360714
1056664	WIS	WIS-L-0029612	Collector unspecified	s.n.	NA	New Jersey	Orange	41.255916	-74.277771	county_not_matched_no_match	county_not_matched	Dutch Hollow, near Monroe	https://lichenportal.org/portal/collections/individual/index.php?occid=1056664
1090836	WIS	WIS-L-0040996	Collector unspecified	s.n.	NA	New Jersey	Orange	41.058153	-74.752665	county_not_matched_no_match	county_not_matched	Newton	https://lichenportal.org/portal/collections/individual/index.php?occid=1090836
1207965	WIS	WIS-L-0055541	Collector unspecified	s.n.	NA	New Jersey	Orange	41.058153	-74.752665	county_not_matched_no_match	county_not_matched	Newton	https://lichenportal.org/portal/collections/individual/index.php?occid=1207965
1213639	WIS	WIS-L-0058301	Irwin M. Brodo	2795	NA	New Jersey	Suffolk	40.736002	-73.33926	county_not_matched_no_match	county_not_matched	near Babylon. Pine-oak woods bordering acid bog, on western edge of Belmont Lake State Park & Rt. 27	https://lichenportal.org/portal/collections/individual/index.php?occid=1213639
