id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1070027	WIS	WIS-L-0036095	Raymond H. Torrey	s.n.	274.45	325.29	New York	Montgomery	41.071422	-71.855806	outside_boundary_exact	not_found_in_US	Napeague Beach, Montauk Point, Long Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1070027
1090228	WIS	WIS-L-0040417	R.H. Torrey	s.n.	111.1	186.21	New York	Oswego	43.73667	-74.39111	outside_boundary_exact	New York, Hamilton County	Panther Mt.	https://lichenportal.org/portal/collections/individual/index.php?occid=1090228
1301272	WIS	WIS-L-0070263	R.H.Torrey	s.n.	111.1	186.21	New York	Oswego	43.73667	-74.39111	outside_boundary_exact	New York, Hamilton County	Panther Mt.	https://lichenportal.org/portal/collections/individual/index.php?occid=1301272
1367121	WIS	WIS-L-0093715	Raymond H. Torrey	s.n.	111.1	186.21	New York	Oswego	43.73667	-74.39111	outside_boundary_exact	New York, Hamilton County	Panther Mt.	https://lichenportal.org/portal/collections/individual/index.php?occid=1367121
1385522	WIS	WIS-L-0101641	F.J. Hermann	14630	96.72	197.09	New York	Hamilton	44.979693	-74.461258	outside_boundary_exact	New York, Franklin County	on roadside (NY 37), 2 miles E. Fort Covington	https://lichenportal.org/portal/collections/individual/index.php?occid=1385522
1047800	WIS	WIS-L-0027221	F.J. Hermann	14628	50.29	151.33	New York	Hamilton	44.571429	-74.307992	outside_boundary_exact	New York, Franklin County	on NY 10, ca. 4 miles N; Paul Smiths	https://lichenportal.org/portal/collections/individual/index.php?occid=1047800
1068079	WIS	WIS-L-0034147	R.H. Torrey	s.n.	27.51	133.49	New York	Saint Lawrence	44.08806	-75.8075	outside_boundary_standardized_exact	New York, Jefferson County	Evans Mills	https://lichenportal.org/portal/collections/individual/index.php?occid=1068079
1070598	WIS	WIS-L-0036554	R.H. Torrey	s.n.	18.04	78.85	New York	Sullivan	41.724186	-74.20498	outside_boundary_exact	New York, Ulster County	High Point, Shawangunk Mt.	https://lichenportal.org/portal/collections/individual/index.php?occid=1070598
1047799	WIS	WIS-L-0027220	Collector unspecified	s.n.	7.76	92.35	New York	Essex	44.3675	-74.23306	outside_boundary_exact	New York, Franklin County	Lake Clear, Adirondack Mts.	https://lichenportal.org/portal/collections/individual/index.php?occid=1047799
1017589	WIS	WIS-L-0020340	William Louis Culberson	1954	7.49	58.38	New York	Schoharie	42.314212	-74.532207	outside_boundary_exact	New York, Delaware County	five miles west of Prattsville.	https://lichenportal.org/portal/collections/individual/index.php?occid=1017589
1017864	WIS	WIS-L-0020595	William Louis Culberson	1954	7.49	58.38	New York	Schoharie	42.314212	-74.532207	outside_boundary_exact	New York, Delaware County	five miles west of Prattsville.	https://lichenportal.org/portal/collections/individual/index.php?occid=1017864
1373107	WIS	WIS-L-0096426	William Louis Culberson	s.n.	4.58	60.16	New York	Schoharie	42.31472	-74.43333	outside_boundary_exact	New York, Greene County	Prattsville	https://lichenportal.org/portal/collections/individual/index.php?occid=1373107
1310049	WIS	WIS-L-0073318	J.W. Thomson	s.n.	2.69	34.66	New York	Rockland	41.252715	-74.128775	outside_boundary_exact	New York, Orange County	Surebridge Mt., Palisades Interstate Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1310049
1468349	WIS	WIS-L-0113447	[collector unspecified]	s.n.	2.69	34.66	New York	Rockland	41.252715	-74.128775	outside_boundary_exact	New York, Orange County	Surebridge Mt. Palisades Interstate Park	https://lichenportal.org/portal/collections/individual/index.php?occid=1468349
1057548	WIS	WIS-L-0030479	Irwin M. Brodo	563	0.65	45.96	New York	Nassau	40.871423	-73.457094	outside_boundary_exact	New York, Suffolk County	Long Island, Cold Spring Harbor; woods above third lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1057548
1048256	WIS	WIS-L-0027689	John W. Thomson	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1048256
1057829	WIS	WIS-L-0030754	John W. Thomson	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1057829
1067241	WIS	WIS-L-0033309	John W. Thomson	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1067241
1068561	WIS	WIS-L-0034630	John W. Thomson	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1068561
1070108	WIS	WIS-L-0036176	John W. Thomson	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1070108
1070255	WIS	WIS-L-0036323	J.W. Thomson	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1070255
1071083	WIS	WIS-L-0037024	John W. Thomson	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1071083
1071641	WIS	WIS-L-0037581	Collector unspecified	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1071641
1107147	WIS	WIS-L-0047724	J.W. Thomson	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1107147
1123851	WIS	WIS-L-0049423	John W. Thomson	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	near top of Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1123851
1202276	WIS	WIS-L-0053537	[Thomson]	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1202276
1206729	WIS	WIS-L-0054617	John W. Thomson	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1206729
1208175	WIS	WIS-L-0055765	John W. Thomson	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1208175
1213754	WIS	WIS-L-0058416	John W. Thomson	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1213754
1213770	WIS	WIS-L-0058432	John W. Thomson	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1213770
1240667	WIS	WIS-L-0063691	[Thomson]	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1240667
1289700	WIS	WIS-L-0068971	John W. Thomson	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1289700
1310045	WIS	WIS-L-0073314	J.W. Thomson	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1310045
1360718	WIS	WIS-L-0091596	John W. Thomson	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1360718
1360980	WIS	WIS-L-0091858	Sharon Gowan	NA	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1360980
1370826	WIS	WIS-L-0095432	John W. Thomson	1300	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1370826
1379716	WIS	WIS-L-0100520	John W. Thomson	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1379716
1387515	WIS	WIS-L-0101913	John W. Thomson	s.n.	0.49	43.5	New York	Putnam	41.318499	-73.9725	outside_boundary_exact	New York, Westchester County	Anthony's Nose	https://lichenportal.org/portal/collections/individual/index.php?occid=1387515
1375751	WIS	WIS-L-0098083	I.A. Lapham	s.n.	0.15	50.38	New York	Dutchess	41.749154	-73.942959	outside_boundary_exact	New York, Ulster County	Banks of Hudson River	https://lichenportal.org/portal/collections/individual/index.php?occid=1375751
1070029	WIS	WIS-L-0036097	Raymond H. Torrey	s.n.	NA	NA	New York	North Sea Road	40.777699	-72.707934	county_not_matched_no_match	county_not_matched	Pike's Beach, Westhampton, Long Island	https://lichenportal.org/portal/collections/individual/index.php?occid=1070029
