id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1424302	WIS	WIS-L-0107934	Cliff Wetmore	10813	121.59	181.67	South Dakota	Fall River	44.568	-103.438	outside_boundary_exact	South Dakota, Meade County	Black Hills; Battle Mt. (2 miles NE of Hot Springs)	https://lichenportal.org/portal/collections/individual/index.php?occid=1424302
1324705	WIS	WIS-L-0077742	W. B. Cooke	32192	36.68	155.13	South Dakota	Pennington	43.527912	-103.375014	outside_boundary_exact	South Dakota, Custer County	Black Hills, along US 385 near Trout Haven	https://lichenportal.org/portal/collections/individual/index.php?occid=1324705
1007164	WIS	WIS-L-0014484	Susan Will-Wolf	2493	15.06	153.65	South Dakota	Pennington	43.720833	-103.579167	outside_boundary_exact	South Dakota, Custer County	Badlands National Park, base of Sheep Mtn. Table near access road.	https://lichenportal.org/portal/collections/individual/index.php?occid=1007164
1024204	WIS	WIS-L-0017883	S. Will-Wolf	2213	13.65	103.9	South Dakota	Jackson	43.766667	-100.929167	outside_boundary_exact	South Dakota, Mellette County	Badlands National Park, Millard Ridge E of Cedar Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=1024204
1041409	WIS	WIS-L-0025458	S. Will-Wolf	2157	13.65	103.9	South Dakota	Jackson	43.766667	-100.929167	outside_boundary_exact	South Dakota, Mellette County	Badlands National Park, Millard Ridge E of Cedar Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=1041409
3399212	WIS	WIS-L-0141812	Susan Will-Wolf	2155	13.65	103.9	South Dakota	Jackson	43.766667	-100.929167	outside_boundary_exact	South Dakota, Mellette County	Badlands National Park, Millard Ridge E of Cedar Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=3399212
3399326	WIS	WIS-L-0141809	Susan Will-Wolf	2154	13.65	103.9	South Dakota	Jackson	43.766667	-100.929167	outside_boundary_exact	South Dakota, Mellette County	Badlands National Park, Millard Ridge E of Cedar Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=3399326
3399343	WIS	WIS-L-0141818	Susan Will-Wolf	2156	13.65	103.9	South Dakota	Jackson	43.766667	-100.929167	outside_boundary_exact	South Dakota, Mellette County	Badlands National Park, Millard Ridge E of Cedar Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=3399343
3399441	WIS	WIS-L-0141772	Susan Will-Wolf	2214	13.65	103.9	South Dakota	Jackson	43.766667	-100.929167	outside_boundary_exact	South Dakota, Mellette County	Badlands National Park, Millard Ridge E of Cedar Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=3399441
1057565	WIS	WIS-L-0030496	John W. Thomson	721	10.41	151.56	South Dakota	Pennington	43.762475	-103.587522	outside_boundary_exact	South Dakota, Custer County	Black Hills, along Needles Road	https://lichenportal.org/portal/collections/individual/index.php?occid=1057565
