id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	distance_max_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1009592	WIS	WIS-L-0015882	Jack Sharp	NA	48.33	113.47	Vermont	Windham	43.660626	-72.338425	outside_boundary_exact	Vermont, Windsor County	Queechee Gorge of Ottauquechee River, Hartford Township	https://lichenportal.org/portal/collections/individual/index.php?occid=1009592
1013695	WIS	WIS-L-0016754	John W. Thomson	s.n.	48.33	113.47	Vermont	Windham	43.660626	-72.338425	outside_boundary_exact	Vermont, Windsor County	Queechee Gorge of Ottauquechee River, Hartford Township	https://lichenportal.org/portal/collections/individual/index.php?occid=1013695
1017026	WIS	WIS-L-0019952	John W. Thomson	s.n.	48.33	113.47	Vermont	Windham	43.660626	-72.338425	outside_boundary_exact	Vermont, Windsor County	Queechee Gorge of Ottauquechee River, Hartford Township	https://lichenportal.org/portal/collections/individual/index.php?occid=1017026
1028012	WIS	WIS-L-0022532	John W. Thomson	s.n.	48.33	113.47	Vermont	Windham	43.660626	-72.338425	outside_boundary_exact	Vermont, Windsor County	Queechee Gorge of Ottauquechee River, Hartford Township	https://lichenportal.org/portal/collections/individual/index.php?occid=1028012
1206740	WIS	WIS-L-0054628	John W. Thomson	s.n.	48.33	113.47	Vermont	Windham	43.660626	-72.338425	outside_boundary_exact	Vermont, Windsor County	Queechee Gorge of Ottauquechee River, Hartford Township	https://lichenportal.org/portal/collections/individual/index.php?occid=1206740
1067510	WIS	WIS-L-0033578	S.M. Thomson	s.n.	29.09	112.33	Vermont	Windsor	42.974803	-72.521756	outside_boundary_exact	Vermont, Windham County	Putney	https://lichenportal.org/portal/collections/individual/index.php?occid=1067510
1090589	WIS	WIS-L-0040771	Robert Egan	El-3262	2.67	56.83	Vermont	Washington-Chittende	44.320833	-72.920833	outside_boundary_reverse_partial	Vermont, Chittenden County	Camel's Hump: Green Mountains: 6.5 miles WSW of Waterbury	https://lichenportal.org/portal/collections/individual/index.php?occid=1090589
1213262	WIS	WIS-L-0057923	Robert Egan	El-3252	2.67	56.83	Vermont	Washington	44.320833	-72.920833	outside_boundary_exact	Vermont, Chittenden County	Washington-Chittenden County. Camels Hymp; Green Mountains; 6.5 miles WSW of Waterbury	https://lichenportal.org/portal/collections/individual/index.php?occid=1213262
1223850	WIS	WIS-L-0058584	Robert Egan	El-3258	2.67	56.83	Vermont	Washington	44.320833	-72.920833	outside_boundary_exact	Vermont, Chittenden County	Washington-Chittenden County. Camels Hymp; Green Mountains; 6.5 miles WSW of Waterbury	https://lichenportal.org/portal/collections/individual/index.php?occid=1223850
1359357	WIS	WIS-L-0090657	Robert Egan	El-3274	2.67	56.83	Vermont	Washington	44.320833	-72.920833	outside_boundary_exact	Vermont, Chittenden County	Washington Co.-Chittenden Co.: Camels Hump; Green Mountains; 6.5 miles WSW of Waterbury	https://lichenportal.org/portal/collections/individual/index.php?occid=1359357
1485621	WIS	WIS-L-0109464	S. Hammer	6035	0.33	40.74	Vermont	Bennington	43	-73	outside_boundary_exact	Vermont, Windham County	Green Mountain National Forest; Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1485621
1485624	WIS	WIS-L-0109467	Samuel Hammer	6032	0.33	40.74	Vermont	Bennington	43	-73	outside_boundary_exact	Vermont, Windham County	Green Mountain National Forest; Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1485624
1485628	WIS	WIS-L-0109471	Samuel Hammer	6033	0.33	40.74	Vermont	Bennington	43	-73	outside_boundary_exact	Vermont, Windham County	Green Mountain National Forest; Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1485628
1485632	WIS	WIS-L-0109475	Samuel Hammer	6017	0.33	40.74	Vermont	Bennington	43	-73	outside_boundary_exact	Vermont, Windham County	Green Mountain National Forest; Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1485632
1485636	WIS	WIS-L-0109479	Samuel Hammer	6026	0.33	40.74	Vermont	Bennington	43	-73	outside_boundary_exact	Vermont, Windham County	Green Mountain National Forest; Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1485636
1485640	WIS	WIS-L-0109483	Samuel Hammer	6015	0.33	40.74	Vermont	Bennington	43	-73	outside_boundary_exact	Vermont, Windham County	Green Mountain National Forest; Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1485640
1485641	WIS	WIS-L-0109484	Samuel Hammer	6031	0.33	40.74	Vermont	Bennington	43	-73	outside_boundary_exact	Vermont, Windham County	Green Mountain National Forest; Winhall Township, near Bondville	https://lichenportal.org/portal/collections/individual/index.php?occid=1485641
