id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
5340408	WS	206769	Geo. N. Jones	3043	68.58	Washington	Asotin	45.500137	-118.001328	outside_boundary_exact	Oregon, Union County	Wenatchee Ranger Station, Blue Mountains.	https://lichenportal.org/portal/collections/individual/index.php?occid=5340408
5348573	WS	398492	Walter Fertig	35205	21.27	Washington	Pierce	46.5599	-121.7032	outside_boundary_exact	Washington, Lewis County	West Cascades ecoregion: Gifford Pinchot National Forest, FS Road 20, north end of Smith Ridge on divide between Dry Creek and Smith Creek, 0.5 miles SE of US Hwy 12, 3.5 air miles S of Packwood. T12N R9E S5 SW4 NE4.	https://lichenportal.org/portal/collections/individual/index.php?occid=5348573
5358722	WS	398494	Walter Fertig	35204	21.27	Washington	Pierce	46.5599	-121.7032	outside_boundary_exact	Washington, Lewis County	West Cascades ecoregion: Gifford Pinchot National Forest, FS Road 20, north end of Smith Ridge on divide between Dry Creek and Smith Creek, 0.5 miles SE of US Hwy 12, 3.5 air miles S of Packwood. T12N R9E S5 SW4 NE4.	https://lichenportal.org/portal/collections/individual/index.php?occid=5358722
5341247	WS	385557	C.V. Piper	s.n.	7.33	Washington	Lewis	46.85	-121.75	outside_boundary_exact	Washington, Pierce County	Mt. Rainier. [Lewis or Pierce counties]	https://lichenportal.org/portal/collections/individual/index.php?occid=5341247
5824271	WS	414189	Kathryn Beck	1687	3.77	Washington	Yakima	46.55386	-119.82517	outside_boundary_exact	Washington, Benton County	Yakima Ridge, near Hwy 24. T12N R24E S4	https://lichenportal.org/portal/collections/individual/index.php?occid=5824271
5824394	WS	414311	Kathryn Beck	1677	3.77	Washington	Yakima	46.55386	-119.82517	outside_boundary_exact	Washington, Benton County	Yakima Ridge, near Hwy 24. T12N R24E S4	https://lichenportal.org/portal/collections/individual/index.php?occid=5824394
5824464	WS	414258	Kathryn Beck	913	0.54	Washington	Chelan	47.293204	-120.080804	outside_boundary_exact	Washington, Douglas County	Columbia River area, near Moses Coulee. T21N R20E S21.	https://lichenportal.org/portal/collections/individual/index.php?occid=5824464
5359118	WS	398272	B.D. Ryan	30647-a	0.29	Washington	Skagit	48.293309	-121.40793	outside_boundary_exact	Washington, Snohomish County	Mt. Baker-Snoqualmie National Forest, along road 2600-012, S of Road 26, mile 11-12	https://lichenportal.org/portal/collections/individual/index.php?occid=5359118
5358820	WS	398790	B.D. Ryan	30625	0.19	Washington	Skagit	48.294265	-121.422761	outside_boundary_exact	Washington, Snohomish County	Mt. Baker-Snoqualmie National Forest, along road 2600-012, S of Road 26, mile 11-12	https://lichenportal.org/portal/collections/individual/index.php?occid=5358820
5359116	WS	398271	B.D. Ryan	30635	0.1	Washington	Skagit	48.29504	-121.423036	outside_boundary_exact	Washington, Snohomish County	Mt. Baker-Snoqualmie National Forest, along road 2600-012, between mile 11 & 12 and S of road 26.	https://lichenportal.org/portal/collections/individual/index.php?occid=5359116
5338934	WS	361252	Curtis R. Bjork	7118	0.03	Washington	Asotin	46.08028	-116.97861	outside_boundary_exact	Idaho, Nez Perce County	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338934
5338935	WS	361253	Curtis R. Bjork	7119	0.03	Washington	Asotin	46.08028	-116.97861	outside_boundary_exact	Idaho, Nez Perce County	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338935
5338936	WS	361254	Curtis R. Bjork	7120	0.03	Washington	Asotin	46.08028	-116.97861	outside_boundary_exact	Idaho, Nez Perce County	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338936
5338937	WS	361255	Curtis R. Bjork	7121	0.03	Washington	Asotin	46.08028	-116.97861	outside_boundary_exact	Idaho, Nez Perce County	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338937
5338938	WS	361256	Curtis R. Bjork	7123	0.03	Washington	Asotin	46.08028	-116.97861	outside_boundary_exact	Idaho, Nez Perce County	Lime Hill, northern extreme of Hell's Canyon; about 1.0 air miles eastsoutheast of the mouth of the Grande Ronde River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338938
5338939	WS	361257	Curtis R. Bjork	7124	0.03	Washington	Asotin	46.08028	-116.97861	outside_boundary_exact	Idaho, Nez Perce County	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338939
5338940	WS	361258	Curtis R. Bjork	7128	0.03	Washington	Asotin	46.08028	-116.97861	outside_boundary_exact	Idaho, Nez Perce County	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338940
5338941	WS	361259	Curtis R. Bjork	7127	0.03	Washington	Asotin	46.08028	-116.97861	outside_boundary_exact	Idaho, Nez Perce County	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338941
5338942	WS	361260	Curtis R. Bjork	7125	0.03	Washington	Asotin	46.08028	-116.97861	outside_boundary_exact	Idaho, Nez Perce County	Lime Hill, northern extreme of Hell's Canyon; about 1.0 air miles eastsoutheast of the mouth of the Grande Ronde River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338942
5338943	WS	361261	Curtis R. Bjork	7129	0.03	Washington	Asotin	46.08028	-116.97861	outside_boundary_exact	Idaho, Nez Perce County	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338943
5338944	WS	361262	Curtis R. Bjork	7131	0.03	Washington	Asotin	46.08028	-116.97861	outside_boundary_exact	Idaho, Nez Perce County	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338944
5338945	WS	361263	Curtis R. Bjork	7117	0.03	Washington	Asotin	46.08028	-116.97861	outside_boundary_exact	Idaho, Nez Perce County	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338945
5338947	WS	361265	Curtis R. Bjork	7113	0.03	Washington	Asotin	46.08028	-116.97861	outside_boundary_exact	Idaho, Nez Perce County	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles eastsoutheast of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5338947
5341174	WS	385368	Wilhelm N. Suksdorf	90	0.03	Washington	Klickitat	45.76273	-121.53694	outside_boundary_exact	Washington, Skamania County	White Salmon River.	https://lichenportal.org/portal/collections/individual/index.php?occid=5341174
5343172	WS	397933	Curtis R. Bjork	7129	0.03	Washington	Asotin	46.08028	-116.97861	outside_boundary_exact	Idaho, Nez Perce County	Lime Hill, northern extreme of Hell's Canyon; about 1.3 air miles ESE of the mouth of the Grande Ronde River; at the northeast base of Lime Hill, about 100 feet above the Snake River. T7N R47E S20	https://lichenportal.org/portal/collections/individual/index.php?occid=5343172
