id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
1564126	hb. Esslinger	22871	Theodore L. Esslinger	13864	593.44	Arizona	San Bernardino	34.287104	-116.820192	outside_boundary_first_word_match	California, San Bernardino County	San Bernardino Mtns., W of the northern arm of Baldwin Lake, along Hwy 18 about 1.6 km W of the intersection with Holcombe Valley Road	https://lichenportal.org/portal/collections/individual/index.php?occid=1564126
1544416	hb. Esslinger	10103	Theodore L. Esslinger	12213	407.43	Arizona	Santa Cruz	35.3797	-110.6294	outside_boundary_exact	Arizona, Navajo County	about 24.2 km ENE of Nogales in the Patagonia Mtns.; 4.8 km north along forest rd. 49 from its intersection with forest rd. 61., on a NW slope	https://lichenportal.org/portal/collections/individual/index.php?occid=1544416
1491245	hb. Esslinger	1025	Theodore L. Esslinger	14870	172.67	Arizona	Navajo	32.04	-110.233333	outside_boundary_exact	Arizona, Cochise County	along Hwy. 60 ca. 5.6 km. northeast of intersection with Hwy. 73, on north feeing bluff above Corduroy Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1491245
1492018	hb. Esslinger	1798	Theodore L. Esslinger	14874	172.67	Arizona	Navajo	32.04	-110.233333	outside_boundary_exact	Arizona, Cochise County	along Hwy. 60 ca. 5.6 km. northeast of intersection with Hwy. 73, on north feeing bluff above Corduroy Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1492018
1496931	hb. Esslinger	6378	Theodore L. Esslinger	14878	172.67	Arizona	Navajo	32.04	-110.233333	outside_boundary_exact	Arizona, Cochise County	along Hwy. 60 ca. 5.6 km. northeast of intersection with Hwy. 73, on north feeing bluff above Corduroy Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1496931
1490371	hb. Esslinger	151	Theodore L. Esslinger	15628	166.78	Arizona	Cochise	33.92	-109.271667	outside_boundary_exact	Arizona, Apache County	Coronado National Forest, in the Chiricahua Mountains, between Barfoot Park and Buena Vista Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=1490371
1560962	hb. Esslinger	20154	T.H. Nash	32000	160.79	Arizona	Cochise	33.866667	-109.25	outside_boundary_exact	Arizona, Apache County	Chiricahua Mountains, Coronado National Forest, between Herb Martyr Dam and Winn Falls.	https://lichenportal.org/portal/collections/individual/index.php?occid=1560962
1561330	hb. Esslinger	21287	Cherie Bratt	10625A	120.3	Arizona	Pima	31.886543	-109.173297	outside_boundary_exact	Arizona, Cochise County	Cave Creek Canyon, S Fork of Chiricahua, 3 mi W of Portal, Site 10	https://lichenportal.org/portal/collections/individual/index.php?occid=1561330
1554090	hb. Esslinger	15928	S.L. Friedman	NA	116.05	Arizona	Maricopa	32.425	-110.75833	outside_boundary_exact	Arizona, Pima County	Canyon Lake, 8 km E of Apache Junction, on route 88 (Apache Trail), Superstition Mountains; Upper Sonoran	https://lichenportal.org/portal/collections/individual/index.php?occid=1554090
1493888	hb. Esslinger	3992	Theodore L. Esslinger	15559	95.92	Arizona	Pima	33.373333	-110.693333	outside_boundary_exact	Arizona, Gila County	northeast of Tucson in Coronado National Forest, Santa Catalina Mountains; Bear Canyon Picnic area along Santa Catalina Highway	https://lichenportal.org/portal/collections/individual/index.php?occid=1493888
3775605	hb. Esslinger	27125	T. H. Nash III	39323	81.71	Arizona	Gila	32.65	-109.816667	outside_boundary_exact	Arizona, Graham County	1 km south of Flowing Springs, in the cliffs above the East Verde River	https://lichenportal.org/portal/collections/individual/index.php?occid=3775605
1547328	hb. Esslinger	13015	Theodore L. Esslinger	14810A	53.97	Arizona	Coconino	34.026667	-110.236667	outside_boundary_exact	Arizona, Navajo County	along Hwy. 60, ca. 3.4 km. NE of intersection with Arizona Hwy. 73, in Long Tom Canyon east of the highway	https://lichenportal.org/portal/collections/individual/index.php?occid=1547328
1547330	hb. Esslinger	13017	Theodore L. Esslinger	14813	53.97	Arizona	Coconino	34.026667	-110.236667	outside_boundary_exact	Arizona, Navajo County	along Hwy. 60, ca. 3.4 km. NE of intersection with Arizona Hwy. 73, in Long Tom Canyon east of the highway	https://lichenportal.org/portal/collections/individual/index.php?occid=1547330
1490228	hb. Esslinger	8	T.L. Esslinger	14885	53.52	Arizona	Coconino	34.04	-110.233333	outside_boundary_exact	Arizona, Navajo County	along Hwy. 60 ca. 5.6 km. northeast of intersection with Hwy. 73, on north facing bluff above Corduroy Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1490228
1491250	hb. Esslinger	1030	Theodore L. Esslinger	14857	53.52	Arizona	Coconino	34.04	-110.233333	outside_boundary_exact	Arizona, Navajo County	along Hwy 60 ca. 5 .6 km. northeast of intersection with Hwy. 73, on north facing bluff above Corduroy Creek; 34Ã&#130;°02.4'N, 110Ã&#130;°14'W; ca.	https://lichenportal.org/portal/collections/individual/index.php?occid=1491250
