id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
6019995	hb. LaGreca	SALG00981	Jonathan P. Dey	545	0.68	North Carolina	Wilkes Co.	36.3239	-81.3681	outside_boundary_exact	North Carolina, Ashe County	Jumpin-Off Rocks at Mile Post 260 along the Blue Ridge Parkway	https://lichenportal.org/portal/collections/individual/index.php?occid=6019995
6019950	hb. LaGreca	SALG00864	Jonathan P. Dey	3711	0.52	North Carolina	Haywood Co.	35.7061	-83.2631	outside_boundary_exact	Tennessee, Sevier County	Great Smoky Mountains National Park, Inadu Knob, along the Appalachian Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=6019950
6019953	hb. LaGreca	SALG00939	Jonathan P. Dey	3719	0.52	North Carolina	Haywood Co.	35.7061	-83.2631	outside_boundary_exact	Tennessee, Sevier County	Great Smoky Mountains National Park, Inadu Knob, along the Appalachian Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=6019953
6019880	hb. LaGreca	SALG00872	Jonathan P. Dey	3491	0.08	North Carolina	Haywood Co.	35.59716	-83.18573	outside_boundary_exact	North Carolina, Swain County	Southern Appalachian Mountains. Chiltoes Mountain in the Great Smoky Mountains National Park. Along the Balsam Mountain Trail, on the Swain County line	https://lichenportal.org/portal/collections/individual/index.php?occid=6019880
6019948	hb. LaGreca	SALG00862	Jonathan P. Dey	3491	0.08	North Carolina	Haywood Co.	35.59716	-83.18573	outside_boundary_exact	North Carolina, Swain County	Southern Appalachian Mountains. Chiltoes Mountain in the Great Smoky Mountains National Park. Along the Balsam Mountain Trail, on the Swain County line	https://lichenportal.org/portal/collections/individual/index.php?occid=6019948
6019979	hb. LaGreca	SALG00964	Jonathan P. Dey	4572	0.02	North Carolina	Jackson Co.	35.38312	-83.02763	outside_boundary_exact	North Carolina, Haywood County	Southern Appalachian Mountains. Old Bald in the Balsam Mountains	https://lichenportal.org/portal/collections/individual/index.php?occid=6019979
6020015	hb. LaGreca	SALG01001	Jonathan P. Dey	2897	0.02	North Carolina	Swain Co.	35.58661	-83.47282	outside_boundary_exact	Tennessee, Sevier County	Great Smoky Mountains National Park, Mount Collins, along the Appalachian Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=6020015
6019988	hb. LaGreca	SALG00974	Jonathan P. Dey	6564	0.01	North Carolina	Swain Co.	35.68676	-83.27099	outside_boundary_exact	Tennessee, Sevier County	Southern Appalachian Mountains. Mount Chapman in the Great Smoky Mountains National Park. Along the Appalachian Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=6019988
6019998	hb. LaGreca	SALG00984	Jonathan P. Dey	4160	0.01	North Carolina	Jackson Co.	35.46427	-83.13764	outside_boundary_exact	North Carolina, Jackson County	Southern Appalachian Mountains. Waterrock Knob in the Plott Balsam Mountains. On the Haywood County line	https://lichenportal.org/portal/collections/individual/index.php?occid=6019998
6019999	hb. LaGreca	SALG00985	Jonathan P. Dey	4181	0.01	North Carolina	Jackson Co.	35.46427	-83.13764	outside_boundary_exact	North Carolina, Jackson County	Southern Appalachian Mountains. Waterrock Knob in the Plott Balsam Mountains. On the Haywood County line	https://lichenportal.org/portal/collections/individual/index.php?occid=6019999
6020010	hb. LaGreca	SALG00996	Jonathan P. Dey	961	0.01	North Carolina	Yancey Co.	35.72984	-82.29151	outside_boundary_exact	North Carolina, Buncombe County	Southern Appalachian Mountains. Potato Knob in the Black Mountains. Near North Carolina Wildlife Refuge and NC Bear Sanctuary boundary lines	https://lichenportal.org/portal/collections/individual/index.php?occid=6020010
6019956	hb. LaGreca	SALG00942	Jonathan P. Dey	5532	0	North Carolina	Haywood Co.	35.42594	-82.7568	outside_boundary_exact	North Carolina, Haywood County	Southern Appalachian Mountains. Mount Pisgah	https://lichenportal.org/portal/collections/individual/index.php?occid=6019956
6019976	hb. LaGreca	SALG00962	Jonathan P. Dey	5530	0	North Carolina	Haywood Co.	35.42594	-82.7568	outside_boundary_exact	North Carolina, Haywood County	Southern Appalachian Mountains. Mount Pisgah	https://lichenportal.org/portal/collections/individual/index.php?occid=6019976
