id	institutionCode	catalogNumber	recordedBy	recordNumber	distance_km	state	county	decimalLatitude	decimalLongitude	status	implied_location	locality	record_link
5659193	hb. Schumm	8965	F. Schumm	8965	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5659193
5660318	hb. Schumm	8962	F. Schumm	8962	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5660318
5660389	hb. Schumm	8975	F. Schumm	8975	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5660389
5665368	hb. Schumm	8972	F. Schumm	8972	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5665368
5666949	hb. Schumm	8954	F. Schumm	8954	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Cherryfield und Franklin, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5666949
5667493	hb. Schumm	8974	F. Schumm	8974	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5667493
5667494	hb. Schumm	8973	F. Schumm	8973	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5667494
5668891	hb. Schumm	8958	F. Schumm	8958	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5668891
5668892	hb. Schumm	8964	F. Schumm	8964	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5668892
5668911	hb. Schumm	8957	F. Schumm	8957	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5668911
5668912	hb. Schumm	8966	F. Schumm	8966	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5668912
5669518	hb. Schumm	8969	F. Schumm	8969	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5669518
5670579	hb. Schumm	8960	F. Schumm	8960	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5670579
5671375	hb. Schumm	8968	F. Schumm	8968	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5671375
5671862	hb. Schumm	8963	F. Schumm	8963	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5671862
5671936	hb. Schumm	8955	F. Schumm	8955	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5671936
5673087	hb. Schumm	8959	F. Schumm	8959	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5673087
5673088	hb. Schumm	8961	F. Schumm	8961	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5673088
5673094	hb. Schumm	8967	F. Schumm	8967	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5673094
5677524	hb. Schumm	8971	F. Schumm	8971	1.63	Maine	Washington	44.60933	-68.01909	outside_boundary_exact	Maine, Hancock County	Buchenwäldchen an der Straße Nr. 182 zwischen Franklin und Cherryfield, N 44°36.560, W 68°01.146, 60 m,	https://lichenportal.org/portal/collections/individual/index.php?occid=5677524
