Category	Entity	Total_Records	Records_Analyzed	Pct_Analyzed	Violations	Pct_Violations	Dist_Min_km	Dist_Q1_km	Dist_Median_km	Dist_Q3_km	Dist_Max_km	Dist_Mean_km
herbaria	ALA	31385	176		29	16.5	1.32	19.94	49.62	57.31	933.7	70.06
herbaria	APSC	515	505		25	5	0	0.18	0.97	7.65	73.74	9.94
herbaria	ASU	111131	61076	55	5547	9.1	0	1.41	8.2	41.91	16373.25	48.81
herbaria	AUA	3988	3493		42	1.2	0.11	1.55	5.12	101.16	885.71	79.31
herbaria	BALT	6460	30		1	3.3	89.67	89.67	89.67	89.67	89.67	89.67
herbaria	BRIT	7252	447		7	1.6	3.5	8.22	8.22	33.18	937.86	147.49
herbaria	BUT	309	78		13	16.7	0.01	0.18	0.18	0.18	299.68	33.51
herbaria	CAS	3856	390		15	3.8	0.04	0.79	4.54	32.56	640.81	102.73
herbaria	CHSC	1662	1247	75	51	4.1	0.12	4.07	10.22	26.88	8707.33	196.38
herbaria	CLEMS	5542	55	1	13	23.6	11.64	50.64	50.64	1074.7	11664.77	1417.1
herbaria	CSCN	257	223		1	0.4	35.52	35.52	35.52	35.52	35.52	35.52
herbaria	CSU	1651	1594		281	17.6	0.23	3.22	42.24	85.81	13366.02	148.77
herbaria	CUP	10194	1000		80	8	0.01	9.51	61.7	486.69	6840.64	749.93
herbaria	DAV	1666	723		89	12.3	0	2.16	6.54	29.89	8044.69	241.92
herbaria	EVE	886	319	36	47	14.7	6.94	20.39	20.48	21.4	77.66	22.14
herbaria	EWU	2037	1931		89	4.6	0.57	0.64	0.64	138.4	4447.1	462.16
herbaria	FH	61916	3537		294	8.3	0.03	1.85	13.78	148.19	12042.88	1659.8
herbaria	FTG	125	124		21	16.9	0.11	0.5	0.5	0.51	21.4	3.48
herbaria	FTU	747	746		25	3.4	0.02	0.64	2.29	69.91	190.21	37.52
herbaria	GAM	2914	185		21	11.4	0.01	8.66	22.43	25.22	165.16	27.26
herbaria	GEO	621	593		94	15.9	0.01	32.7	32.7	32.7	312.73	36.75
herbaria	GMUF	399	117		12	10.3	0.24	0.34	185.95	605.1	9381.99	1024.72
herbaria	HAW	3803	1	0	0	0						
herbaria	HPSU	640	604		2	0.3	0.12	0.13	0.14	0.15	0.15	0.14
herbaria	HSC	905	883		303	34.3	0.11	184.95	184.95	184.95	288.91	173.81
herbaria	Harvard_University	3145	3		1	33.3	233.06	233.06	233.06	233.06	233.06	233.06
herbaria	ID	8470	3256		246	7.6	0	1.06	3.4	35	742.9	32.74
